ats,token,titulo,local,url,id,internal_job_id,disciplina_vini,ja_no_painel
ashby,stellarentertainment,Talent Pool,"Guildford, UK",https://jobs.ashbyhq.com/stellarentertainment/43711cca-1ec5-40d3-98d7-eeb2740e604d,43711cca-1ec5-40d3-98d7-eeb2740e604d,,SIM,nova
ashby,thatgamecompany,3D Character Artist (Mid-Senior),Remote - US,https://jobs.ashbyhq.com/thatgamecompany/36e101a4-c7ba-4884-8999-cd04abb979ee,36e101a4-c7ba-4884-8999-cd04abb979ee,,SIM,JA-FEITO
bamboohr,amuseanimation,Join Our Talent Pool – Send Your CV,"Las Palmas de Gran Canaria, Las Palmas",https://amuseanimation.bamboohr.com/careers/164,164,,SIM,nova
bamboohr,barnstormvfx,ANY LOCATION - General Application - Expression of Interest,,https://barnstormvfx.bamboohr.com/careers/114,114,,SIM,JA-FEITO
bamboohr,barnstormvfx,Artiste principal(e) de créatures - Lead Creature Artist - QC,"Montreal, Quebec",https://barnstormvfx.bamboohr.com/careers/176,176,,SIM,JA-FEITO
bamboohr,barnstormvfx,Environment Generalist (VAN),"Vancouver, British Columbia",https://barnstormvfx.bamboohr.com/careers/204,204,,SIM,JA-FEITO
bamboohr,cinesitemontreal,Speculative Application Montreal -- Candidature Spontanée Montreal,"Montreal, Quebec",https://cinesitemontreal.bamboohr.com/careers/93,93,,SIM,JA-FEITO
bamboohr,cinesitevancouver,Speculative Application,"Vancouver, British Columbia",https://cinesitevancouver.bamboohr.com/careers/260,260,,SIM,JA-FEITO
bamboohr,dmfx,Artiste CFX (effets spéciaux de créatures) | CFX (Creature FX) Artist,"Montreal, Quebec",https://dmfx.bamboohr.com/careers/129,129,,SIM,nova
bamboohr,funday,Funday Agency - General Application,,https://funday.bamboohr.com/careers/136,136,,SIM,JA-FEITO
bamboohr,iconcreative,Intermediate Modeling/Texture Artist,"Vancouver, British Columbia",https://iconcreative.bamboohr.com/careers/136,136,,SIM,JA-FEITO
bamboohr,iconcreative,Talent Relations Manager (On-Site),"Vancouver, British Columbia",https://iconcreative.bamboohr.com/careers/149,149,,SIM,nova
bamboohr,igg,3D Character Artist (Mobile Game),"Vancouver, British Columbia",https://igg.bamboohr.com/careers/289,289,,SIM,JA-FEITO
bamboohr,imageengine,General Application - Assets (Modeling/Texturing/LookDev/Grooming),"Vancouver, British Columbia",https://imageengine.bamboohr.com/careers/21,21,,SIM,JA-FEITO
bamboohr,imageengine,General Application - Editorial,"Vancouver, British Columbia",https://imageengine.bamboohr.com/careers/25,25,,SIM,nova
bamboohr,imageengine,General Application - FX TD,"Vancouver, British Columbia",https://imageengine.bamboohr.com/careers/13,13,,SIM,nova
