"# CENSO DE ROTAS DE CANDIDATURA ESPONTANEA - Jhon B, 13/09/2026 14h45 UTC. So curl, zero navegador, zero envio."
# 23.161 sondagens. Estao aqui SO as respostas que NAO foram 404; 404 significa slug/host inexistente e nao interessa guardar.
# ATENCAO: codigo 200 NAO prova que a rota e daquela plataforma. 44 hosts de dominio proprio deram 200 na URL exata do Pinpoint e nenhum era Pinpoint (soft-404 do site do estudio). Quem decide e o <title> mais a presenca de job_seeker_form.
familia,rota,alvo,http,bytes,redirect,nota
pinpoint,slug /en/register-your-interest/new,able,200,240707,,
pinpoint,slug /en/register-your-interest/new,amber,200,191649,,
pinpoint,slug /en/register-your-interest/new,brown,200,285478,,
pinpoint,slug /en/register-your-interest/new,elastic,200,232910,,
pinpoint,slug /en/register-your-interest/new,embark,200,255773,,
pinpoint,slug /en/register-your-interest/new,flixinteractive,200,217429,,
pinpoint,slug /en/register-your-interest/new,framestore,200,230175,,
pinpoint,slug /en/register-your-interest/new,kraken,200,263458,,
pinpoint,slug /en/register-your-interest/new,magnopus,200,298789,,
pinpoint,slug /en/register-your-interest/new,moonbug,200,234252,,
pinpoint,slug /en/register-your-interest/new,outpost-vfx,200,225622,,
pinpoint,slug /en/register-your-interest/new,pipeworks,200,179812,,
pinpoint,slug /en/register-your-interest/new,playground-games,200,215857,,
pinpoint,slug /en/register-your-interest/new,prosper,200,259316,,
pinpoint,slug /en/register-your-interest/new,reply,200,232668,,
pinpoint,slug /en/register-your-interest/new,rocksteady,200,191884,,
pinpoint,slug /en/register-your-interest/new,ruckus-games,302,102,,
pinpoint,slug /en/register-your-interest/new,sandbox,200,227689,,
pinpoint,slug /en/register-your-interest/new,sans,200,196787,,
pinpoint,slug /en/register-your-interest/new,singularity6,200,226186,,
pinpoint,slug /en/register-your-interest/new,stepchange,200,230598,,
pinpoint,slug /en/register-your-interest/new,suncreature,200,218150,,
pinpoint,slug /en/register-your-interest/new,tonic,200,222999,,
pinpoint,slug /en/register-your-interest/new,triangle,200,216887,,
pinpoint,slug /en/register-your-interest/new,tripledotstudios,302,106,,
teamtailor,/connect (slug ja conhecido),antagonist,301,0,https://werken-bij.antagonist.nl/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),10chambers,301,0,https://careers.10chambers.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),ankama,301,0,https://recrutement.ankama.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),airshipinteractive,301,0,https://careers.airshipinteractive.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),anima,200,55367,,
teamtailor,/connect (slug ja conhecido),above,200,61882,,
teamtailor,/connect (slug ja conhecido),avantis,301,0,https://careers.avantisgroup.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),aonic,301,0,https://careers.aonic.co/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),axis,301,0,https://karriere.axissolutions.no/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),beffio,301,0,https://careers.beffio.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),awaceb,200,40791,,
teamtailor,/connect (slug ja conhecido),axolotgamesab,200,48365,,
teamtailor,/connect (slug ja conhecido),bica,301,0,https://www.jobs.bica.services/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),beyondframesentertainment,301,0,https://jobs.beyondframes.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),blackkitestudios,301,0,https://joinus.blackkitestudios.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),bulkheadinteractive,301,0,https://careers.bulkhead.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),butter,301,0,https://careers.allgravy.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),black,200,46399,,
teamtailor,/connect (slug ja conhecido),captureage,301,0,https://careers.captureage.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),capsulestudio,301,0,https://career.capsule.studio/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),chopchop,301,0,https://work.chopchop.se/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),chief,301,0,https://karriar.chief.se/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),coffeestainstudios,301,0,https://jobs.coffeestain.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),clickoutmedia,301,0,https://careers.clickoutmedia.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),curio,301,0,https://careers.curiogroup.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),cigames,200,56348,,
teamtailor,/connect (slug ja conhecido),dare,301,0,https://careers.dare.global/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),delve,200,56792,,
teamtailor,/connect (slug ja conhecido),doktor,301,0,https://jobs.doktor.se/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),ember,301,0,https://careers.ember.org.nz/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),eclipse,301,0,https://karriar.eclipse.se/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),embarkstudios,301,0,https://careers.embark-studios.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),envarstudio,301,0,https://careers.envarstudio.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),facepunch,301,0,https://careers.facepunch.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),firefly,301,0,https://career.firefly.se/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),fatshark,301,0,https://jobs.fatsharkgames.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),erepublik,200,61576,,
teamtailor,/connect (slug ja conhecido),fortis,301,0,https://career.fortis.com.mt/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),fundaygames,301,0,https://joinus.fundaygames.dk/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),fully,200,75716,,
teamtailor,/connect (slug ja conhecido),fuse,301,0,https://careers.fuse.co.id/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),gameboost,301,0,https://www.gameboost.se/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),genius,301,0,https://careers.genius.paris/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),goals,301,0,https://tt.playgoals.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),funcom,301,0,https://jobs.funcom.com/connect/candidates/new,
teamtailor,/connect (slug ja conhecido),gigglebug,200,64979,,
teamtailor,/connect (slug ja conhecido),goodbyekansas,301,0,https://career.goodbyekansas.com/connect/candidates/new,
