nome,pais,site,dominio,token,classe
&ranj,Netherlands,,,ranj,jogos
'am^up,Germany,,,amup,jogos
0n1 Studios,Canada,https://0n1studios.com,0n1studios.com,0n1studios,jogos
100 Stones Interactive,Australia,http://www.100stonesinteractive.com/,100stonesinteractive.com,100stonesinteractive,jogos
1001 Software Development,,,,1001softwaredevelopment,jogos
10tacle Studios,Germany,,,10taclestudios,jogos
10tons,Finland,https://www.10tons.com,10tons.com,10tons,jogos
11 Bit Studios,Poland,http://www.11bitstudios.com/,11bitstudios.com,11bitstudios,jogos
1492 Studio,France,,,1492studio,jogos
1564 Studio,,,,1564studio,jogos
17-BIT,United States,http://www.17-bit.com/,17-bit.com,17bit,jogos
1939 Games,Iceland,https://www.1939games.com/,1939games.com,1939games,jogos
1C Online Games,Cyprus,,,1conlinegames,jogos
1Games,United States,http://www.playonegames.com/,playonegames.com,1games,jogos
1P2P Studio,France,http://1p2p-studio.com/,1p2p-studio.com,1p2pstudio,jogos
1st Playable Productions,United States,http://www.1stplayable.com/,1stplayable.com,1stplayableproductions,jogos
20:20,United Kingdom,,,2020,jogos
21st Street Games,,http://www.21stGames.com/,21stgames.com,21ststreetgames,jogos
22Cans,United Kingdom,http://22cans.com/,22cans.com,22cans,jogos
24 Caret Games,United States,http://www.24caretgames.com,24caretgames.com,24caretgames,jogos
2Awesome Studio,Netherlands,https://www.2awesomestudio.com,2awesomestudio.com,2awesomestudio,jogos
2D Boy,United States,http://2dboy.com/,2dboy.com,2dboy,jogos
2K,United States,https://www.2k.com/en-US/,2k.com,2k,jogos
2K Australia,Australia,,,2kaustralia,jogos
2K Los Angeles,United States,,,2klosangeles,jogos
2K Marin,United States,,,2kmarin,jogos
2XL Games,,http://www.2xlgames.com/,2xlgames.com,2xlgames,jogos
2by3 Games,,,,2by3games,jogos
2n Productions,,,,2nproductions,jogos
2xMilk,,http://2xmilk.co/,2xmilk.co,2xmilk,jogos
3 Sprockets,Australia,http://www.3sprockets.com,3sprockets.com,3sprockets,jogos
3 pouces Software,,,,3poucessoftware,jogos
3-Fold Games,United Kingdom,https://www.3foldgames.uk,3foldgames.uk,3foldgames,jogos
314 Arts,Germany,https://www.314arts.com/,314arts.com,314arts,jogos
34BigThings,Italy,https://34bigthings.com/,34bigthings.com,34bigthings,jogos
3583 Bytes,Canada,https://www.3583bytes.com/,3583bytes.com,3583bytes,jogos
38 Studios,United States,http://www.3gstudios.com/,3gstudios.com,38studios,jogos
3909,United States,,,3909,jogos
3D Realms,United States,https://3drealms.com/,3drealms.com,3drealms,jogos
3DClouds,Italy,https://www.3dclouds.it/,3dclouds.it,3dclouds,jogos
3Division,,https://www.3division.sovietrepublic.net/,3division.sovietrepublic.net,3division,jogos
3Division Entertainment,Slovakia,http://3division.net,3division.net,3divisionentertainment,jogos
3LV Games,,http://3lvgames.com/index.htm,3lvgames.com,3lvgames,jogos
3R Games,Poland,https://3r.games/,3r.games,3rgames,jogos
3Romans,United States,,,3romans,jogos
3d6 Games,United States,http://www.3d6games.com/,3d6games.com,3d6games,jogos
3rdEye,,,,3rdeye,jogos
4 I Lab,,,,4ilab,jogos
4-Panel Footprint,,,,4panelfootprint,jogos
4A Games,Malta,http://www.4a-games.com.mt/,4a-games.com.mt,4agames,jogos
4A Games,Ukraine,http://www.4a-games.com.mt/,4a-games.com.mt,4agames,jogos
4Co,,,,4co,jogos
4D Rulers,,http://www.4drulers.com/,4drulers.com,4drulers,jogos
4J Studios,United Kingdom,https://4jstudios.com,4jstudios.com,4jstudios,jogos
4Kids Games,Slovakia,,,4kidsgames,jogos
4MHz,Spain,,,4mhz,jogos
4mm Games,United States,,,4mmgames,jogos
5 Lives Studios,,http://www.5livesstudios.com/,5livesstudios.com,5livesstudios,jogos
5am Games,Switzerland,https://5am-games.com,5am-games.com,5amgames,jogos
5th Cell,United States,http://www.5thcell.com/,5thcell.com,5thcell,jogos
6E6E6E,,https://sixesixesixe.com/,sixesixesixe.com,6e6e6e,jogos
7 Raven Studios,,https://www.7ravenstudios.com/,7ravenstudios.com,7ravenstudios,jogos
704Games,United States,http://www.dmracing.org,dmracing.org,704games,jogos
777 Studios,,,,777studios,jogos
7A Games,Poland,http://7agames.com/,7agames.com,7agames,jogos
7th Beat Games,,https://7thbe.at/,7thbe.at,7thbeatgames,jogos
7th Level,United States,,,7thlevel,jogos
8-Bit Legit,United States,https://8bitlegit.com/,8bitlegit.com,8bitlegit,jogos
800 North and Digital Ranch,,,,800northanddigitalranch,jogos
8Bit Games,,,,8bitgames,jogos
8floor,United Kingdom,https://8floor.net,8floor.net,8floor,jogos
8monkey Labs,,,,8monkeylabs,jogos
8sec,France,https://8sec.games/,8sec.games,8sec,jogos
8th Day Software,United Kingdom,,,8thdaysoftware,jogos
8th Floor Games,,,,8thfloorgames,jogos
909games,,,,909games,jogos
989 Studios,United States,,,989studios,jogos
9Finger Games,,,,9fingergames,jogos
9Ratones,,http://9ratones.com/,9ratones.com,9ratones,jogos
A Heartful of Games,Spain,https://www.aheartfulofgames.com,aheartfulofgames.com,aheartfulofgames,jogos
A Nostru,,,,anostru,jogos
"A Sharp, LLC",,,,asharpllc,jogos
A Shell In The Pit,Canada,https://www.ashellinthepit.com/,ashellinthepit.com,ashellinthepit,jogos
A&F Software,United Kingdom,,,afsoftware,jogos
A.I,,,,ai,jogos
A44,New Zealand,https://www.a44games.com/,a44games.com,a44,jogos
AAD Productions,,,,aadproductions,jogos
ABC Department,,,,abcdepartment,jogos
ABShot,South Korea,,,abshot,jogos
ABX Games Studio,France,https://abxgames.com,abxgames.com,abxgamesstudio,jogos
AEL Entertainment,,http://aelgames.com/,aelgames.com,aelentertainment,jogos
AFTERBURN,Poland,https://afterburn.games/,afterburn.games,afterburn,jogos
AGD Interactive,,https://www.agdinteractive.com,agdinteractive.com,agdinteractive,jogos
AGL Studios,,http://www.aglstudioart.com,aglstudioart.com,aglstudios,jogos
AIVIK LLC,,,,aivikllc,jogos
ALICE IN DISSONANCE,,,,aliceindissonance,jogos
ALMA Games,Ukraine,https://alma-games.com,alma-games.com,almagames,jogos
AMZN Mobile LLC,,,,amznmobilellc,jogos
ANMA,Netherlands,,,anma,jogos
"APF Electronics, Inc.",United States,,,apfelectronicsinc,jogos
APh Technological Consulting,United States,,,aphtechnologicalconsulting,jogos
ASBO Interactive,,https://asbointeractive.com/,asbointeractive.com,asbointeractive,jogos
AXL,,,,axl,jogos
Aackosoft,Netherlands,,,aackosoft,jogos
Abbey Games,Netherlands,https://abbeygames.com,abbeygames.com,abbeygames,jogos
Abhijeeth Swaminathan,Canada,,,abhijeethswaminathan,jogos
Above and Beyond Technologies,,,,aboveandbeyondtechnologies,jogos
Abrakam,Belgium,https://www.abrakam.com/,abrakam.com,abrakam,jogos
Abramelin Games,,https://www.abramelingames.com/,abramelingames.com,abramelingames,jogos
Absolutist Ltd.,,https://absolutist.com/,absolutist.com,absolutistltd,jogos
Abstraction Games,Netherlands,https://abstraction.games/,abstraction.games,abstractiongames,jogos
Absurdus,,http://www.absurdus.net/absurdus/,absurdus.net,absurdus,jogos
Abylight,Spain,https://abylight.com/,abylight.com,abylight,jogos
Abyte Entertainment,,,,abyteentertainment,jogos
"Acceleroto, Inc.",,,,accelerotoinc,jogos
Accidental Queens,France,http://accidentalqueens.com/,accidentalqueens.com,accidentalqueens,jogos
Acclaim Studios Austin,United States,,,acclaimstudiosaustin,jogos
Acclaim Studios Cheltenham,United Kingdom,,,acclaimstudioscheltenham,jogos
