# Dominios da fila do gamedevmap que NAO PODEM receber email, medidos em 06/09 por consulta de DNS.
# Formato: dominio,estado. "sem-mx" = o dominio existe mas nao publica servidor de email (quase sempre
# pagina de itch.io, wix, carrd ou site de jogo sem caixa). "morto" = o dominio nem resolve.
# POR QUE ISSO EXISTE: em 06/09 a taxa de bounce da campanha estava em cerca de 9%, e acima de 5% os
# provedores leem o remetente como lista raspada, o que castiga o dominio inteiro. Destes 1.131 dominios
# da fila, 116 nao tem como receber carta nenhuma. Filtrar por esta lista ANTES de escrever rascunho
# derruba a maior parte do bounce sem diminuir uma unica candidatura de verdade.
dominio,estado
anchor-point.com,morto
eventhorizonstudios.games,morto
honigstudios.com,morto
noctilucagames.com,morto
nordicandia.com,morto
thebeardedladies.se,morto
2dynamic.azurewebsites.net,sem-mx
2kmadrid.com,sem-mx
3division.sovietrepublic.net,sem-mx
alenar-soft.itch.io,sem-mx
antistaticstudios.net,sem-mx
assettocorsa.gg,sem-mx
better-half.itch.io,sem-mx
birdmaskstudio.itch.io,sem-mx
blanksword.carrd.co,sem-mx
blazingsails.com,sem-mx
bluescarab.com,sem-mx
brozef.itch.io,sem-mx
businessgoose.be,sem-mx
caligarigames.net,sem-mx
caromble.com.s3-website.eu-central-1.amazonaws.com,sem-mx
carrion.game,sem-mx
chessandcheckers.io,sem-mx
clidthesnail.wixsite.com,sem-mx
codemanu.itch.io,sem-mx
codepeas.itch.io,sem-mx
coldwood.com,sem-mx
combodevils.com,sem-mx
conceptart.my.canva.site,sem-mx
crowhillstudios.itch.io,sem-mx
curiocompass.carrd.co,sem-mx
daisygames.org,sem-mx
deepmonolith.com,sem-mx
dennaton.com,sem-mx
diabotical.com,sem-mx
disco-angels.itch.io,sem-mx
dreamfeel.ie,sem-mx
eirix.itch.io,sem-mx
elizarfaft1aq.wixsite.com,sem-mx
ereban.com,sem-mx
exdream.com,sem-mx
fancycatinteractive.com,sem-mx
finalboss-games.com,sem-mx
flat28-collective.itch.io,sem-mx
foxterstudio.com,sem-mx
frozenwaygames.com,sem-mx
gamedust.co,sem-mx
games.nexent.io,sem-mx
genokids.com,sem-mx
gocagames.com,sem-mx
goldenhordestudios.com,sem-mx
greyishgames.com,sem-mx
hazelinterval.com,sem-mx
hellofanoffice.com,sem-mx
hellotheregames.com,sem-mx
hidden-fields.itch.io,sem-mx
icedropgames.com,sem-mx
inbetweengames.itch.io,sem-mx
interactive.innovina.it,sem-mx
isbitgames.com,sem-mx
jmyllys.com,sem-mx
kaguyaproject.com,sem-mx
kerzoven.com,sem-mx
knuistperzik.github.io,sem-mx
lifezerogames.com,sem-mx
lostinrandom.com,sem-mx
lunchmoney.games,sem-mx
max-ritters.itch.io,sem-mx
mikeklubnika.itch.io,sem-mx
mind-diver.com,sem-mx
mitale.itch.io,sem-mx
mncgames.itch.io,sem-mx
mobilebits.de,sem-mx
moonlitgames.io,sem-mx
nukklear.de,sem-mx
ovosonico.com,sem-mx
oxeyegames.com,sem-mx
paper-animal-rpg.carrd.co,sem-mx
paradigmisland.blog,sem-mx
pendulostudios.com,sem-mx
phoninghome.net,sem-mx
pigswillflystudios.com,sem-mx
pixelpizza.de,sem-mx
placeholder.games,sem-mx
portal.pixelfederation.com,sem-mx
punch-punk.com,sem-mx
purpurest.wordpress.com,sem-mx
quadarkstudio.com,sem-mx
quantumboxgames.wordpress.com,sem-mx
redroseinteractive.weebly.com,sem-mx
riseofindustry.com,sem-mx
rivertailsthegame.com,sem-mx
runningwithrifles.com,sem-mx
sacredfiregame.com,sem-mx
shanblue.com,sem-mx
shortfuse.se,sem-mx
snekflat.github.io,sem-mx
snowcastlegames.com,sem-mx
sordonom.wixsite.com,sem-mx
stockholm.ubisoft.com,sem-mx
studio.aldgard.se,sem-mx
studio.playgoals.com,sem-mx
studiopizzagames.itch.io,sem-mx
studios.ggtech.gg,sem-mx
supercloudfight.com,sem-mx
tableflip.nu,sem-mx
tamagames.com,sem-mx
tarkovsky.itch.io,sem-mx
teamsoletude.carrd.co,sem-mx
tenstackstudios.com,sem-mx
theouterzone.itch.io,sem-mx
thrustergames.itch.io,sem-mx
topotoy.com,sem-mx
ugs.pt,sem-mx
ultrosgame.com,sem-mx
zomorrostudio.itch.io,sem-mx
