# automacao/dominios-sem-pessoa.csv
#
# POR QUE ESTE ARQUIVO EXISTE. O Joe recomendou este arquivo em TRES rodadas seguidas (20/09 20h35,
# 20/09 22h35 e 21/09 00h35) e ninguem o escreveu; enquanto ele nao existia, "a veia dos 67 dominios
# do sudeste da Europa" era um NUMERO SEM LISTA e ficava "nao aberta" para sempre. Criado na rodada
# das 02h35 de 21/09 por ordem do maestro, que o chamou de entrega obrigatoria, nao opcional.
#
# O QUE ENTRA AQUI, e a distincao importa: este arquivo NAO e o dominios-sem-email.csv. Aquele lista
# dominio que nao PODE receber email (sem MX ou morto, medido por DNS). Este lista dominio que RECEBE
# email mas NAO PUBLICA ENDERECO DE PESSOA - so caixa funcional (info@, jobs@, contact@, office@),
# ou nada. Sao as casas em que o Joe ja gastou requisicao e voltou de maos vazias, e que nao devem
# ser reabertas sem uma tecnica NOVA (navegador, Impressum, politica de privacidade, log de commit).
#
# COMO USAR. Antes de abrir um dominio, procure-o aqui. Se estiver, leia a coluna o_que_foi_tentado:
# ela diz quais caminhos ja responderam o que, e quais das familias de ocultacao ja foram rodadas.
# Se voce tem tecnica nova, reabra E ATUALIZE A LINHA com a data nova. Se nao tem, nao gaste a
# requisicao.
#
# AS SEIS FAMILIAS DE OCULTACAO DE EMAIL JA MEDIDAS NA CAMPANHA, para a coluna o_que_foi_tentado:
#   1. data-cfemail (Cloudflare, hex com XOR pelo primeiro byte) - reversivel por curl
#   2. entidade HTML (antispambot() do WordPress) - reversivel por html.unescape
#   3. (at)/(dot) ou [at]/[dot com] em texto - reversivel a mao
#   4. base64 no texto visivel (achada na TrickStudio em 21/09 00h35) - reversivel por curl
#   5. remocao total (Joomla) - irreversivel por curl
#   6. substituicao por JavaScript, texto "[javascript protected email address]" (achada na Animoon
#      em 21/09 02h35) - EXIGE NAVEGADOR
#
# COLUNAS: dominio,casa,pais,o_que_foi_tentado,data
dominio,casa,pais,o_que_foi_tentado,data
studiolocomotive.lv,Studio Locomotive,Letonia,"TEM ENDERECO DE PESSOA e NAO entra como sem-pessoa - esta aqui so como remissao: dominiks@studiolocomotive.lv, rv@ e elina@ publicados em mailto: na home. ARMADILHA: o texto visivel escreve @LOCOMOTIVE.LV e o href escreve @studiolocomotive.lv. Morreu por DISCIPLINA (zero 3D/CGI/character nos 3.451 caracteres da unica pagina), nao por falta de endereco. / (200, 15.779); /contact, /about-us, /services = 404 com 6.798",2026-09-21
hari-studios.com,HARI (Studio HARI),Franca,"SEM PESSOA. 8 paginas abertas: / (200, 11.859), /contact/ (12.664), /a-propos/ (18.133), /recrutements/ (16.841), /recrutement/ (12.562), /productions/ (11.184), /mentions-legales/ (11.004), /politique-de-confidentialite/ (12.050); /equipe/, /l-equipe/, /team/, /jobs/ = 404 com 39.906. Familias 1,2,3,4 rodadas = zero. Publica so funcionais: contact@studiohari.com, sales@hari-international.tv, harishopclients@studiohari.com. ATENCAO: https://studiohari.com/ da curl 0 com ZERO BYTE por certificado TLS que cobre so o destino do redirecionamento - pedir em http:// com -L. TEM pagina de vagas propria e viva em /recrutements/ (fila do Jhon A)",2026-09-21
melusinestudio.com,Melusine Studio,Luxemburgo,"SEM PESSOA e SEM HTML. / , ?entity=11, /contact, /team, /jobs e /api/entities devolvem todos 200 com os MESMOS 1.184 BYTES de casca de SPA. Familias 1,2,3,4 = zero. DIVIDA DE NAVEGADOR (Magico). Dominios legados melusineproductions.com, studio352.lu e melusine.lu dao codigo 0 em http:// E https:// = mortos de verdade",2026-09-21
dealproductions.com,Deal Productions,Luxemburgo,"SEM PESSOA. / (200, 103.409), /about (200, 103.935), /contact (200, 106.207); /legal e /team = 404 com 676 bytes. Wix. Familias 1,2,3,4 = zero. Publica so info@dealproductions.com. Morreu tambem por DISCIPLINA: 3D, animation e animated = ZERO nos 1.720 caracteres da /about (produtora de imagem real de dez pessoas). Existe uma pagina 'Our Team' no menu que NAO foi aberta, porque a disciplina matou antes",2026-09-21
caimans-prod.com,Caimans Productions,Franca,"SEM PESSOA. http:// / (200, 17.599), /contact -> /fr/contact/ (200, 19.427); /equipe e /fr/mentions-legales/ = 404. Familias 1,2,3,4 = zero. Publica so info@ e scenario@caimans-prod.com, as duas funcionais. Morreu tambem por DISCIPLINA: catalogo de ~70 titulos esmagadoramente documentario e imagem real",2026-09-21
funnytales.eu,Funny Tales,Grecia,"SEM PESSOA. http://www.funnytales.eu (200, 5.007) e /index.php (200, 5.014); /contact, /team e /about = 500 com erro de Joomla vazando caminho de servidor. Familias 1,2,3,4 = zero endereco de qualquer tipo. VETO DE DISCIPLINA pelo proprio <title>: 'Funny Tales | 2D animation studio, Greece' e rodape 'FUNNY TALES 2D Animation Studio.' - contradiz a rubrica Techniques da feira, que listava 3D computer",2026-09-21
mistyfox.me,Misty Fox,Ucrania,"SEM PESSOA. / (200, 35.009). Publica so office@mistyfox.me. VETO DE REGIAO ANTES DA DISCIPLINA: Ucrania nao esta no escopo do BRIEF-JOE (America do Norte, Reino Unido, Irlanda, Nordicos, UE, Oceania, e na Asia so Coreia do Sul e Singapura). Nao abri mais nada",2026-09-21
animoon.pl,Animoon,Polonia,"SEM PESSOA POR NAVEGADOR. /en/ (200, 17.537) e /en/contact/ (200, 3.829); /en/team/ = 404. O texto visivel da /en/contact/ e literalmente '[javascript protected email address]' e o unico mailto: do HTML e 'mailto:\'. Familias 1,2,3,4 = zero, e a regex de email cai em iscas embaralhadas que NAO sao enderecos. SEXTA FAMILIA DE OCULTACAO, achada aqui. Publica hello@animoon.pl na /en/ (funcional). DIVIDA DE NAVEGADOR (Magico)",2026-09-21
animaj.com,Animaj,Franca,"SEM PESSOA. / (200, 17.233), /contact (200, 9.050), /careers (200, 24.046); /about e /team = 404 com 6.303. Familias 1,2,3,4 = zero (o unico acerto e o placeholder YOUREMAIL@GMAIL.COM do formulario). Casa de IP 'AI-native' dona de Pocoyo, Maya the Bee e HeyKids; tem /careers",2026-09-21
