id,title,location,type,department,url
208365,Videogame Tester - Dutch,"Madrid, Spain",Temporary - with Benefits (EU & Malaysia),EA Studios - Localization,https://jobs.ea.com/en_US/careers/JobDetail/Videogame-Tester-Dutch/208365
209716,"Senior Director, Executive Compensation","Redwood City, United States of America",Regular Employee,People Experience & Workplaces,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Director-Executive-Compensation/209716
209831,"Head of Product Experience, FC","Vancouver, Canada",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Head-of-Product-Experience-FC/209831
211515,Senior Site Reliability Engineer I,"Hyderabad, India",Regular Employee,CT - Infrastructure & Platform,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Site-Reliability-Engineer-I/211515
211550,Lead Product Manager,"Toronto, Canada",Regular Employee,EA Mobile - Glu,https://jobs.ea.com/en_US/careers/JobDetail/Lead-Product-Manager/211550
211830,Senior AI Solutions Lead (Software Quality),"Bucharest, Romania",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Senior-AI-Solutions-Lead-Software-Quality/211830
212011,"Director, Player Experience (PX) Research","Los Angeles - Del Rey, United States of America",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Director-Player-Experience-PX-Research/212011
212025,Videogame Tester - French,"Madrid, Spain",Temporary - with Benefits (EU & Malaysia),EA Studios - Localization,https://jobs.ea.com/en_US/careers/JobDetail/Videogame-Tester-French/212025
212057,Associate Creative Director - Battlefield,"Stockholm, Sweden",Regular Employee,Marketing,https://jobs.ea.com/en_US/careers/JobDetail/Associate-Creative-Director-Battlefield/212057
212117,Senior Software Engineer - Generalist (Foundations) (Apex Legends),"Los Angeles - Chatsworth, United States of America",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Software-Engineer-Generalist-Foundations-Apex-Legends/212117
212201,Machine Learning Engineer III,"Kirkland, United States of America",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Machine-Learning-Engineer-III/212201
212271,Production Director,"Edmonton, Canada",Regular Employee,EA Studios - BioWare,https://jobs.ea.com/en_US/careers/JobDetail/Production-Director/212271
212301,Detection Engineer,"Guildford, United Kingdom",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Security-Detection-Engineer/212301
212350,Senior Software Engineer - On Device Machine Learning,"Guildford, United Kingdom",Regular Employee,CT - Frostbite,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Software-Engineer-On-Device-Machine-Learning/212350
212368,Experienced Rendering Software Engineer - FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-EA-SPORTS-FC/212368
212414,Tax Manager,"Hyderabad, India",Regular Employee,Finance,https://jobs.ea.com/en_US/careers/JobDetail/Tax-Manager/212414
212507,Experience Designer (Visual Craft and UI) - EA SPORTS™ FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Experience-Designer-EA-SPORTS-FC/212507
212689,Development Director -  EA SPORTS™ FC,"Bucharest, Romania",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Director-EA-SPORTS-FC/212689
212721,Videogame Tester - Swedish,"Madrid, Spain",Temporary - with Benefits (EU & Malaysia),EA Studios - Localization,https://jobs.ea.com/en_US/careers/JobDetail/Videogame-Tester-Swedish/212721
212723,Videogame Tester - Russian,"Madrid, Spain",Temporary - with Benefits (EU & Malaysia),EA Studios - Localization,https://jobs.ea.com/en_US/careers/JobDetail/Videogame-Tester-Russian/212723
212725,Videogame Tester - Arabic,"Madrid, Spain",Temporary - with Benefits (EU & Malaysia),EA Studios - Localization,https://jobs.ea.com/en_US/careers/JobDetail/Videogame-Tester-Arabic/212725
212771,"Director, Business Strategy","Redwood City, United States of America",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Director-Business-Strategy/212771
212775,Senior Software Engineer - Generalist (Foundations) (Apex Legends),"Los Angeles - Chatsworth, United States of America",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Software-Engineer-Generalist-Foundations-Apex-Legends/212775
212777,Développeur.se sénior.e d’outils /Senior Tools Developer (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Tools-Developer-Apex-Legends/212777
212779,Anti-Cheat Engineer,"Austin, United States of America",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Anti-Cheat-Engineer/212779
212806,Directeur principal de l'engagement / Senior Engagement Director,"Montreal, Canada",Regular Employee,EA Studios - Motive Montreal,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Engagement-Director/212806
212954,"Senior Manager, Strategy -- Chief of Staff & Strategic Initiatives","Redwood City, United States of America",Regular Employee,Other,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Manager-Strategy-Chief-of-Staff-Strategic-Initiatives/212954
212993,Software Engineer,"Shanghai, China",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-I/212993
213108,Systems Engineer - Infrastructure Operations,"Vancouver, Canada",Temporary Employee,CT - IT,https://jobs.ea.com/en_US/careers/JobDetail/Systems-Engineer-Infrastructure-Operations/213108
213134,Anti-Cheat Operations Engineer,"Austin, United States of America",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Anti-Cheat-Operations-Engineer/213134
213141,Développeur.euse de logiciels / Software Developer - BATTLEFIELD QV,"Montreal, Canada",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Software-Developer-III/213141
