id,title,location,type,department,url
209716,"Senior Director, Executive Compensation","Kirkland, United States of America",Regular Employee,People Experience & Workplaces,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Director-Executive-Compensation/209716
209831,"Head of Product Experience, FC","Vancouver, Canada",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Head-of-Product-Experience-FC/209831
211550,Lead Product Manager,"Toronto, Canada",Regular Employee,EA Mobile - Glu,https://jobs.ea.com/en_US/careers/JobDetail/Lead-Product-Manager/211550
211830,Senior AI Solutions Lead (Software Quality),"Bucharest, Romania",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Senior-AI-Solutions-Lead-Software-Quality/211830
212117,Senior Software Engineer - Generalist (Foundations) (Apex Legends),"Los Angeles - Chatsworth, United States of America",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Software-Engineer-Generalist-Foundations-Apex-Legends/212117
212135,Senior Lighting Director - EA SPORTS FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Lighting-Director-EA-SPORTS-FC/212135
212201,Machine Learning Engineer III,"Kirkland, United States of America",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Machine-Learning-Engineer-III/212201
212271,Production Director,"Edmonton, Canada",Regular Employee,EA Studios - BioWare,https://jobs.ea.com/en_US/careers/JobDetail/Production-Director/212271
212350,Senior Software Engineer - On Device Machine Learning,"Guildford, United Kingdom",Regular Employee,CT - Frostbite,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Software-Engineer-On-Device-Machine-Learning/212350
212368,Experienced Rendering Software Engineer - FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-EA-SPORTS-FC/212368
212414,Tax Manager,"Hyderabad, India",Regular Employee,Finance,https://jobs.ea.com/en_US/careers/JobDetail/Tax-Manager/212414
212507,Experience Designer (Visual Craft and UI) - EA SPORTS™ FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Experience-Designer-II-EA-SPORTS-FC/212507
212689,Development Director -  EA SPORTS™ FC,"Bucharest, Romania",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Director-EA-SPORTS-FC/212689
212771,"Senior Director, Business Strategy","Redwood City, United States of America",Regular Employee,Other,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Director-Business-Strategy/212771
212775,Senior Software Engineer - Generalist (Foundations) (Apex Legends),"Los Angeles - Chatsworth, United States of America",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Software-Engineer-Generalist-Foundations-Apex-Legends/212775
212777,Développeur.se sénior.e d’outils /Senior Tools Developer (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Tools-Developer-Apex-Legends/212777
212779,Anti-Cheat Engineer,"Austin, United States of America",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Anti-Cheat-Engineer/212779
212806,Directeur principal de l'engagement / Senior Engagement Director,"Montreal, Canada",Regular Employee,EA Studios - Motive Montreal,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Engagement-Director/212806
212954,"Senior Manager, Strategy -- Chief of Staff & Strategic Initiatives","Redwood City, United States of America",Regular Employee,Other,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Manager-Strategy-Chief-of-Staff-Strategic-Initiatives/212954
213134,Anti-Cheat Operations Engineer,"Austin, United States of America",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Anti-Cheat-Operations-Engineer/213134
213141,Développeur.euse de logiciels / Software Developer - BATTLEFIELD QV,"Montreal, Canada",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Software-Developer-III/213141
213148,Lead Producer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Lead-Producer-EA-SPORTS-FC/213148
213149,Lead Game Product Manager - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Lead-Game-Product-Manager-FC/213149
213158,PC Product Producer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/PC-Product-Producer-EA-SPORTS-FC/213158
213183,Lead Client Engineer - gameplay,"Shanghai, China",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/213183-Lead-GP-Client-Engineer/213183
213535,Senior Software Engineer (Devops),"Austin, United States of America",Regular Employee,CT - IT,https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-III/213535
213579,Experience Designer - EA SPORTS™ FC,"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Experience-Designer-FC/213579
213580,Data Analyst EA SPORTS™ FC (Game Development Analytics),"Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Data-Analyst-Game-Development-Analytics/213580
213587,Project Manager (Development Manager),"Seoul, Korea, Republic of",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/QVS-Development-Manager/213587
213594,"Senior Director, FP&A - Enterprise","Redwood City, United States of America",Regular Employee,Finance,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Director-FP-A-Enterprise/213594
213598,Lead Features Designer,"Manchester, United Kingdom",Regular Employee,EA Mobile - Playdemic,https://jobs.ea.com/en_US/careers/JobDetail/Lead-Features-Designer/213598
213629,Lead Animation Engineer (Apex Legends),"Vancouver - Great Northern Way, Canada",Regular Employee,EA Studios - Respawn,https://jobs.ea.com/en_US/careers/JobDetail/Lead-Animation-Engineer-Apex-Legends/213629
213630,Full-Stack Software Engineer III,"Vancouver, Canada",Regular Employee,CT - Infrastructure & Platform,https://jobs.ea.com/en_US/careers/JobDetail/Full-Stack-Engineer-EA-Arrival/213630
213658,"Technical Artist, UI - EA SPORTS™ FC","Southam, United Kingdom",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Technical-Artist-UI-EA-SPORTS-FC/213658
213664,Senior Reverse Engineer - Anti Cheat,"Offsite - UK, United Kingdom",Regular Employee,CT - Security,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Reverse-Engineer-Anti-Cheat/213664
213700,Gameplay Software Engineer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Gameplay-Software-Engineer-FC/213700
213741,Assistant Producer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Assistant-Producer-EA-SPORTS-FC/213741
213844,Associate Producer - EA SPORTS™ FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Associate-Producer/213844
213900,"Senior Software Engineer, Machine Learning -  EA SPORTS™ FC","Bucharest, Romania",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Software-Engineer-Machine-Learning-EA-SPORTS-FC/213900
213966,"Senior Manager, Global Travel","Redwood City, United States of America",Regular Employee,People Experience & Workplaces,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Manager-Global-Travel/213966
213967,JavaScript Software Engineer - EAX,"Stockholm, Sweden",Temporary - with Benefits (EU & Malaysia),EAX,https://jobs.ea.com/en_US/careers/JobDetail/JavaScript-Software-Engineer-EAX/213967
214012,"Assistant Producer - EA SPORTS™ FC Mobile, Business Operations","Vancouver, Canada",Temporary Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Assistant-Producer-EA-SPORTS-FC-Mobile-Business-Operations/214012
214027,Software Engineer - Jenkins,"Guildford, United Kingdom",Regular Employee,CT - Operations,https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer/214027
214116,Advanced Data Analyst - EA Sports FC Live,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Advanced-Analyst-EA-Sports-FC/214116
214124,EA Sports FC Player Experience Analyst - FC Quality Verification,"Vancouver, Canada",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/EA-Sports-FC-Player-Experience-Analyst/214124
214157,"Director, Tax Controversy","Redwood City, United States of America",Regular Employee,Finance,https://jobs.ea.com/en_US/careers/JobDetail/Director-Tax-Controversy/214157
214160,Senior C++ Generalist Software Engineer - Advanced Technology Group,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Software-Engineer/214160
214164,"Director, PE Shared Services","Hyderabad, India",Regular Employee,People Experience & Workplaces,https://jobs.ea.com/en_US/careers/JobDetail/Director-PE-Shared-Services/214164
214170,Lead Narrative Designer (TFT),"Guildford, United Kingdom",Temporary - with Benefits (EU & Malaysia),EA Studios - Criterion Games,https://jobs.ea.com/en_US/careers/JobDetail/Lead-Narrative-Designer-TFT/214170
214187,DevOps Engineer - EA SPORTS™ TECHNOLOGY,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/DevOps-Engineer-EA-SPORTS-TECHNOLOGY/214187
214229,Development Director - NHL,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Development-Director-NHL/214229
214253,Software Engineer,"Hyderabad, India",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-II/214253
214269,Advanced Online Software Engineer – EA SPORTS FC,"Vancouver, Canada",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Online-Software-Engineer-EA-SPORTS-FC/214269
214323,Software Engineer (C++) -  Frostbite,"Vancouver, Canada",Regular Employee,CT - Frostbite,https://jobs.ea.com/en_US/careers/JobDetail/Software-Engineer-C-Frostbite/214323
214324,Senior Live Ops Designer - EA Sports,"Birmingham, United Kingdom",Regular Employee,EA Studios - SPORTS,https://jobs.ea.com/en_US/careers/JobDetail/Senior-Live-Ops-Designer-EA-Sports/214324
214330,"Quality Expert - Data Analytics, Lead","Kuala Lumpur, Malaysia",Regular Employee,EA Studios - Quality Verification,https://jobs.ea.com/en_US/careers/JobDetail/Quality-Expert-Data-Analytics-Lead/214330
