# FILA DO CANADA, colhida do gamedevmap em 08/09 a pedido do Vini.
# O gamedevmap tinha sido colhido so para EUROPA (347 portas) e OCEANIA. O Canada, que e o pais
# PRIORITARIO da campanha, nunca tinha sido varrido. Sao 487 estudios canadenses no gamedevmap;
# 61 a campanha ja tocou (por nome ou por dominio) e estes 426 nunca foram tocados.
# Colheita: https://www.gamedevmap.com/index.php?country=Canada&start=<1|101|201|301|401>&count=100
# ATENCAO, duas armadilhas medidas na colheita: (1) o PDF do Vini traz o link em http:// e o bridge
# desta maquina responde 'use CONNECT' em http puro, entao TEM que ser https://; (2) o parametro de
# pagina NAO e page=, e start= com count=, senao as cinco paginas devolvem as mesmas 105 linhas.
# O QUE FAZER COM ISTO: e fila do JHON, nao do prospector. O alvo e achar FORMULARIO de candidatura
# (careers, jobs, join-us, work-with-us) e o ATS por tras dele, nao email. Ordem: Vancouver, Montreal,
# Toronto, depois o resto.
# Formato: nome,tipo,cidade,estado,site,status
2K Sports Lab,,Developer and Publisher,Vancouver,https://sportslab.2k.com/,pagina-sem-ats
2TG Entertainment,,Developer,Vancouver,https://www.2tg.io/,pagina-sem-ats
81monkeys,,Developer,Vancouver,https://www.81monkeys.com/,pagina-sem-ats
A Thinking Ape,,Mobile,Vancouver,https://athinkingape.com/,porta:job-boards.greenhouse
Activision Vancouver,,Developer and Publisher,Vancouver,https://activision.com/,sem-pagina-de-carreira
Adamvision Studios,,Developer,Vancouver,https://adamvisionstudios.com/,sem-pagina-de-carreira
Avatone,,Health,Vancouver,https://avatone.co/,sem-pagina-de-carreira
Bergamot Games,,Developer,Vancouver,https://www.bergamotgames.com/,sem-pagina-de-carreira
Biba,,Mobile,Vancouver,https://www.playbiba.com/,sem-pagina-de-carreira
Bit Byters,,Developer,Vancouver,https://www.bit-byterz.com/,sem-pagina-de-carreira
Brace Yourself Games,,Developer,Vancouver,https://braceyourselfgames.com/,pagina-sem-ats
Buffalo Buffalo,,Developer,Vancouver,https://buffalobuffalo.ca/,pagina-sem-ats
Captain Games,,Mobile,Vancouver,https://www.captain-games.com/,sem-pagina-de-carreira
Casual Immersions Entertainment,,Mobile,Vancouver,http://www.casimm.com/,sem-pagina-de-carreira
Charm Games,,Extended Reality (XR),Vancouver,https://www.charmgames.com/,sem-pagina-de-carreira
Cheesemaster Games,,Developer,Vancouver,https://cheesemaster-games.itch.io/,sem-pagina-de-carreira
Chevy Ray,,Microstudio,Vancouver,https://chevyray.dev/,sem-pagina-de-carreira
Chorus Worldwide,,Publisher,Vancouver,https://chorusworldwide.biz/,sem-pagina-de-carreira
Coal Car Studio,,Developer,Vancouver,https://www.coalcar.ca/,pagina-sem-ats
Coldblood Inc,,Developer,Vancouver,https://coldbloodinc.studio/,sem-pagina-de-carreira
Curiobot,,Developer,Vancouver,https://www.curiobot.com/,sem-pagina-de-carreira
Cuzus Games,,Developer,Vancouver,https://cuzus.games/,sem-pagina-de-carreira
Dapper Labs,,Developer,Vancouver,https://www.dapperlabs.com/,pagina-sem-ats
Demonware (Activision),,Developer and Publisher,Vancouver,https://www.demonware.net/,sem-pagina-de-carreira
DigiBC,,Organization,Vancouver,https://digibc.org/,sem-pagina-de-carreira
Dinosire,,Developer,Vancouver,https://dinosire.com/,sem-pagina-de-carreira
Dropfake,,Developer,Vancouver,https://dropfake.com/,sem-pagina-de-carreira
East Side Games,,Developer,Vancouver,https://www.eastsidegamestudio.com/,sem-pagina-de-carreira
Extremely OK Games,,Developer,Vancouver,https://www.exok.com/,sem-pagina-de-carreira
Floating Origin Studios,,Developer,Vancouver,https://www.floatingorigininteractive.com/,sem-pagina-de-carreira
FlowMotion Entertainment,,Publisher,Vancouver,https://www.flowmotionentertainment.com/,pagina-sem-ats
Frosty Pop Games,,Developer and Publisher,Vancouver,https://frostypop.com/,pagina-sem-ats
Full Indie,,Organization,Vancouver,https://www.fullindie.com/,sem-pagina-de-carreira
Funplus,,Mobile,Vancouver,https://www.funplus.com/,pagina-sem-ats
Funselektor Labs,,Developer,Vancouver,https://www.funselektor.com/,sem-pagina-de-carreira
Greg Lobanov,,Developer,Vancouver,https://www.dumbandfat.com/,sem-pagina-de-carreira
Guide Stone Studios,,Developer,Vancouver,http://dustwalkers.ca/,sem-pagina-de-carreira
HO! Games,,Developer,Vancouver,https://ho-games-studio.itch.io/,sem-pagina-de-carreira
Half Asleep,,Developer,Vancouver,https://halfasleep.games/,sem-pagina-de-carreira
Hildring Studios,,Developer,Vancouver,https://www.hildringstudio.com/,pagina-sem-ats
Hollow Tree Games,,Developer,Vancouver,https://www.hollowtreegames.com/,sem-pagina-de-carreira
IGDA British Columbia - Vancouver,,Organization,Vancouver,https://igda.org/chapters/british-columbia-vancouver/,pagina-sem-ats
Illseer Games,,Developer,Vancouver,https://illseer.itch.io/,sem-pagina-de-carreira
Inkwell Games,,Developer,Vancouver,https://inkwellgames.com/,sem-pagina-de-carreira
Interdimensional Games,,Developer,Vancouver,https://www.idgi1.ca/,sem-pagina-de-carreira
Ironclad Games,,Developer,Vancouver,https://www.ironcladgames.com/,sem-pagina-de-carreira
Jetpack Interactive,,Developer,Vancouver,https://www.jetpackinteractive.ca/,pagina-sem-ats
Journey Bound Games,,Developer,Vancouver,https://www.pathofgiants.com/,sem-pagina-de-carreira
Kerberos Productions,,Developer,Vancouver,https://www.kerberos-productions.com/,sem-pagina-de-carreira
Kettle Games,,Extended Reality (XR),Vancouver,https://www.kettle.games/,sem-pagina-de-carreira
LBC Studio,,Mobile,Vancouver,https://www.lbcstudios.ca/,porta:bamboohr.com
Lifetap Studios,,Developer,Vancouver,https://www.lifetapstudios.com/,sem-pagina-de-carreira
LocalThunk,,Developer,Vancouver,https://playbalatro.com/,sem-pagina-de-carreira
Loligo Games Canada,,Developer,Vancouver,https://loligo.games/,sem-pagina-de-carreira
Matt Makes Games,,Developer,Vancouver,https://www.mattmakesgames.com/,sem-pagina-de-carreira
Meowza Games,,Developer,Vancouver,https://meowza.org/,sem-pagina-de-carreira
Metanaut,,Extended Reality (XR),Vancouver,https://metanautlabs.com/,pagina-sem-ats
Minmax Games,,Developer,Vancouver,https://www.minmax-games.com/,sem-pagina-de-carreira
MrSuicideSheep,,Developer,Vancouver,https://mrsuicidesheep.itch.io/sheepy,sem-pagina-de-carreira
Mythical City Games,,Developer,Vancouver,https://www.mythicalcitygames.com/,sem-pagina-de-carreira
Nickervision Studios,,Developer,Vancouver,https://www.adamvisionstudios.com/,sem-pagina-de-carreira
Night Garden Studio,,Mobile,Vancouver,https://www.nightgardenstudio.com/,pagina-sem-ats
Ninja Robot Dinosaur,,Developer,Vancouver,http://nrdland.com/,sem-pagina-de-carreira
Nintendo of Canada,,Publisher,Vancouver,https://www.nintendo.com/,sem-pagina-de-carreira
Non-Euclidean,,Developer,Vancouver,https://www.non-euclidean.net/,sem-pagina-de-carreira
Northway Games,,Extended Reality (XR),Vancouver,https://www.northwaygames.com/,sem-pagina-de-carreira
airG,,Online,Vancouver,http://web.airgames.airg.com/airgames/,sem-pagina-de-carreira
ePlay Digital,,Mobile,Vancouver,https://www.eplaydigital.com/,sem-pagina-de-carreira
2K Games,,Developer and Publisher,Montreal,https://2k.com/,porta:greenhouse
Affordance Studio,,Serious Games,Montreal,https://affordancestudio.com/,pagina-sem-ats
Akedo Studio,,Developer,Montreal,https://akedostudio.com/,sem-pagina-de-carreira
Alblune,,Developer,Montreal,https://alblune.com/,sem-pagina-de-carreira
Alex Massé,,Microstudio,Montreal,https://alexmasse.com/,sem-pagina-de-carreira
Amazon Games Montreal Studio,,Developer,Montreal,https://amazongames.com/,pagina-sem-ats
Arctic Flame Games,,Developer,Montreal,https://arcticflamegames.com/,sem-pagina-de-carreira
Artifact 5,,Extended Reality (XR),Montreal,https://artifact5.com/,sem-pagina-de-carreira
Autoexec Games,,Developer,Montreal,https://autoexec-games.com/,sem-pagina-de-carreira
BKOM Studios (Aonic),,Developer,Montreal,https://bkomstudios.com/,sem-pagina-de-carreira
Bad Rez Games,,Developer,Montreal,https://www.badrezgames.com/,pagina-sem-ats
BadRez Games,,Developer,Montreal,https://badrezgames.itch.io/,sem-pagina-de-carreira
Bebop Games,,Developer,Montreal,https://bebop.games/,sem-pagina-de-carreira
Bethesda Game Studios Montreal (ZeniMax Media),,Developer,Montreal,https://bethesdagamestudios.com/,sem-pagina-de-carreira
Blindspot Games,,Developer,Montreal,https://blindspot-games.com/,pagina-sem-ats
Blue Lizard Games,,Developer,Montreal,https://www.bluelizardgames.com/,sem-pagina-de-carreira
Borealys Games,,Developer,Montreal,https://borealysgames.com/,sem-pagina-de-carreira
Brass Lion Entertainment,,Developer,Montreal,https://www.brasslionentertainment.com/,sem-pagina-de-carreira
Breaking Walls,,Developer,Montreal,https://www.breakingwalls.co/,pagina-sem-ats
Canari Games,,Developer,Montreal,https://www.canarigames.com/,sem-pagina-de-carreira
Catnip Lab,,Developer,Montreal,https://catnip-lab.com/,sem-pagina-de-carreira
Chasing Rats Games,,Developer,Montreal,https://chasingratsgames.com/,pagina-sem-ats
Clever Endeavour Games,,Developer,Montreal,https://cleverendeavourgames.com/,sem-pagina-de-carreira
Clever Plays,,Developer,Montreal,https://www.clever-plays.com/,pagina-sem-ats
Cloud Chamber (2K),,Developer,Montreal,https://www.cloudchamberstudios.com/,pagina-sem-ats
Colorspace Studio,,Developer,Montreal,https://www.colorspacestudio.com/,sem-pagina-de-carreira
Compulsion Games (Microsoft),,Developer,Montreal,https://www.compulsiongames.com/,sem-pagina-de-carreira
Crea-ture Studios,,Developer,Montreal,https://crea-turestudios.com/,pagina-sem-ats
DONTNOD Montreal,,Developer and Publisher,Montreal,https://dont-nod.com/,porta:smartrecruiters
Double Stallion,,Developer,Montreal,https://dblstallion.com/,sem-pagina-de-carreira
