# Fila gamedevmap dos tres paises que o Vini pediu, colhida em 06/09
# Formato: nome,tipo,cidade,estado,pais,site,status
# So os do tipo Developer e Developer and Publisher, que sao os que podem ter time de arte.
# 129 nomes que a campanha NUNCA contatou. Filtrar por encaixe antes de aprovar.
5am Games,Developer,Zürich,Zürich,Switzerland,https://5am-games.com/,NOVO
Aberrant Labs,Developer,Zürich,Zürich,Switzerland,https://pathogenicgame.com/,NOVO
Aerovery Lab,Developer,Geneva,Geneva,Switzerland,https://flight-of-nova.com/,NOVO
Blobfish Games,Developer,Zürich,Zürich,Switzerland,https://www.blobfishgames.com/,NOVO
Colorbloks,Developer,Saint Gallen,Saint Gallen,Switzerland,https://colorbloks.com,NOVO
David Stark,Developer,Zürich,Zürich,Switzerland,https://zarkonnen.com/,NOVO
Deep Worlds,Developer,Geneva,Geneva,Switzerland,https://deepworlds.studio/,NOVO
Demimonde,Developer,Zürich,Zürich,Switzerland,https://octahedrongame.com/,NOVO
Digital Kingdom,Developer,Vevey,Vaud,Switzerland,https://digitalkingdom.ch/,NOVO
Eleon Game Studios,Developer,Lausanne,Vaud,Switzerland,http://www.eleon-studios.com/,NOVO
Etter Studios,Developer,Zürich,Zürich,Switzerland,https://www.etterstudio.com,NOVO
Furinkazan,Developer,Lausanne,Vaud,Switzerland,https://www.furinkazan.ch/,NOVO
Gbanga,Developer,Zürich,Zürich,Switzerland,https://www.gbanga.com,NOVO
Hidden Fields,Developer,Lucerne,Lucerne,Switzerland,https://hidden-fields.itch.io,NOVO
Inlusio,Developer,Zürich,Zürich,Switzerland,https://www.inlusio.ch,NOVO
Kalamona Studios,Developer,St. Gallen,Saint Gallen,Switzerland,https://kalamonastudios.com/,NOVO
Kerzoven,Developer,Biberstein,Aargau,Switzerland,https://kerzoven.com/,NOVO
Koboldgames,Developer,Brugg,Aargau,Switzerland,https://www.koboldgames.ch,NOVO
LUAL Games,Developer,Zürich,Zürich,Switzerland,https://lual.games/,NOVO
Lululu Entertainment,Developer,Zürich,Zürich,Switzerland,https://lululu.games/,NOVO
Mac N Cheese Games,Developer,Zürich,Zürich,Switzerland,https://mncgames.itch.io/,NOVO
Naraven Games,Developer,Lausanne,Vaud,Switzerland,https://naravengames.com/,NOVO
