# FILA DA EUROPA (+ Oceania), colhida do gamedevmap em 08/09 a pedido do Vini.
# 4148 estudios unicos em 23 valores de pais. 2495 a campanha nunca tocou (nome nem dominio);
# 2072 desses tambem estao em escopo (tipo com time de arte).
# Colheita: https://www.gamedevmap.com/index.php?location=&country=<Pais>&state=&city=&query=&type=&start=<1|101|201|...>&count=100
#
# TRES ARMADILHAS MEDIDAS NESTA COLHEITA:
# (1) PAGINACAO NAO E page=. E start= com count=. Prova medida hoje na Suecia:
#     start=1   -> "10 Chambers" ... "Coldwood Interactive"
#     start=101 -> "Collecting Smiles" ... "Frostrok"   (nomes DIFERENTES, pagina de verdade)
#     page=2    -> "10 Chambers" ... "Coldwood Interactive"  (IDENTICA a pagina 1, armadilha)
#     Com page= a Suecia teria virado 100 estudios em vez de 644.
# (2) http:// PURO FALHA NESTE AMBIENTE (a ponte local responde "use CONNECT" e devolve 400 com
#     corpo vazio, fazendo o site parecer morto). Sempre https://.
# (3) O REINO UNIDO NAO EXISTE COMO UM PAIS SO no gamedevmap. country=United Kingdom devolve
#     apenas 17 residuos. O Reino Unido esta partido em England (790), Scotland (101), Wales (27)
#     e Northern Ireland (21) = 939. Quem pedir so "United Kingdom" perde 922 estudios.
#     Pela mesma logica a Tchequia e "Czechia", nao "Czech Republic" (que devolve zero).
# (4 - de 06/09, ainda vale) pagina de menos de 10 KB nao e pais vazio, e o firewall GoDaddy
#     recusando o IP. Espere 20s e repita.
#
# ORDENACAO: por densidade de cidade (Londres, Estocolmo, Helsinque, Copenhague, Malmo, Dublin,
# Berlim, Hamburgo, Munique, Paris, Bordeaux, Montpellier, Amsterda, Varsovia, Cracovia, Barcelona,
# Madri, Praga, Lisboa, Milao), depois pais e nome.
#
# COLUNAS: nome,tipo,cidade,estado,pais,site,conhecido,escopo,triagem
#   conhecido: NOVO | ja conhecido (painel/csv) | ja na fila gamedevmap 06/09
#   escopo:    em-escopo | fora-de-escopo (Investment, Organization, Health, School, Recruiting...)
#   triagem:   nao-triado | o veredito da triagem de 08/09 quando houve
nome,tipo,cidade,estado,pais,site,conhecido,escopo,triagem
1CC Games,Developer,London,London,England,https://www.1ccgames.com/,NOVO,em-escopo,porta-ok:https://www.1ccgames.com
8Floor,Developer,London,London,England,https://8floor.net/,NOVO,em-escopo,porta-ok:https://8floor.net/careers
Aartform Games,Developer,London,London,England,http://www.aartformgames.com/,NOVO,em-escopo,porta-ok:https://www.aartformgames.com
Acureus,Developer,London,London,England,https://acureus.com/,NOVO,em-escopo,porta-ok:https://acureus.com
Ada Eden,Developer,London,London,England,https://www.1001nights.ai/,NOVO,em-escopo,porta-ok:https://www.1001nights.ai
Alibi Games,Publisher,London,London,England,https://alibi.games/,NOVO,fora-de-escopo,nao-triado
Amazon Games,Developer,London,London,England,https://amazongames.com/,NOVO,em-escopo,porta-ok:https://amazongames.com/careers
Amplified Games,Publisher,London,London,England,https://www.amplified.games/,NOVO,fora-de-escopo,nao-triado
Amused Sloth,Developer,London,London,England,http://amusedsloth.com/,NOVO,em-escopo,porta-sem-resposta
Anji Games,Developer,London,London,England,https://anjimo.github.io/,NOVO,em-escopo,porta-sem-resposta
Arcadia Gaming Partners,Investment,London,London,England,https://www.arcadiagames.vc/,NOVO,fora-de-escopo,nao-triado
ATAY GAMES,Mobile,London,London,England,https://ataygames.com/,NOVO,em-escopo,porta-ok:https://ataygames.com
Autumn Pioneer,Developer,London,London,England,https://autumnpioneer.com/,NOVO,em-escopo,porta-ok:https://autumnpioneer.com
Avokiddo,Mobile,London,London,England,https://avokiddo.com/,NOVO,em-escopo,porta-sem-resposta
Balderton Capital,Investment,London,London,England,https://www.balderton.com/,NOVO,fora-de-escopo,nao-triado
Bare Mettle Entertainment,Developer,London,London,England,https://www.baremettle.com/,NOVO,em-escopo,porta-ok:https://www.baremettle.com
Beard Envy Games,Microstudio,London,London,England,https://www.beardenvy.co.uk/,NOVO,em-escopo,porta-ok:https://www.beardenvy.co.uk
Beatnik Games,Developer,London,London,England,https://www.beatnikgames.co.uk/,NOVO,em-escopo,porta-sem-resposta
Beautiful Game Studios (Square-Enix Europe),Developer,London,London,England,http://eu.square-enix.com/en,NOVO,em-escopo,porta-ok:https://eu.square-enix.com/en/careers
Bellyflop Games,Developer,London,London,England,http://bellyflopgames.com/,NOVO,em-escopo,porta-sem-resposta
Beyond the Pixels,Developer,London,London,England,https://beyond-the-pixels.com/,NOVO,em-escopo,porta-ok:https://beyond-the-pixels.com
Big Pig Studios,Developer,London,London,England,https://www.bigpigstudios.com/,NOVO,em-escopo,porta-ok:https://www.bigpigstudios.com
BigSeed Studio,Developer,London,London,England,https://bigseedstudio.itch.io/,NOVO,em-escopo,porta-ok:https://bigseedstudio.itch.io
Bithell Games,Developer,London,London,England,https://bithellgames.com/,NOVO,em-escopo,porta-ok:https://bithellgames.com
Blue Dot Games,Developer and Publisher,London,London,England,https://www.bluedotgames.com/,NOVO,em-escopo,porta-sem-resposta
Blue Gravity Studios,Developer,London,London,England,https://gravity.blue/,NOVO,em-escopo,porta-sem-resposta
Bocata Games,Developer,London,London,England,https://bocatagames.com/,NOVO,em-escopo,porta-ok:https://bocatagames.com
Bossa Games (News Corp/Shine),Online,London,London,England,https://bossastudios.com/,ja conhecido (painel/csv),em-escopo,"site vivo, porta de carreiras nao localizada no HTML"
Brain Rack Games,Developer,London,London,England,https://brainrackgames.com/,NOVO,em-escopo,porta-ok:https://brainrackgames.com/careers
Brain Seal,Developer,London,London,England,https://brainseal.com/,NOVO,em-escopo,porta-ok:https://brainseal.com
BrainsparkGames,Serious Games,London,London,England,https://brainsparkgames.com/,NOVO,em-escopo,porta-ok:https://brainsparkgames.com
Capcom Entertainment Europe,Publisher,London,London,England,https://capcom-europe.com/,NOVO,fora-de-escopo,nao-triado
Casual Brothers,Developer,London,London,England,https://www.casualbrothers.com/,NOVO,em-escopo,VAGA VIVA 3D Artists/Animators/VFX (form proprio) - sem veto escrito
Cat Commandos,Extended Reality (XR),London,London,England,https://www.catcommandos.com/,NOVO,em-escopo,porta-ok:https://www.catcommandos.com/careers
Chorus Worldwide,Publisher,London,London,England,https://chorusworldwide.biz/,NOVO,fora-de-escopo,nao-triado
Chucklefish,Developer and Publisher,London,London,England,https://chucklefish.org/,ja conhecido (painel/csv),em-escopo,porta-ok:https://chucklefish.org/about/#jobs
Ci Games,Developer and Publisher,London,London,England,https://cigames.com/,ja conhecido (painel/csv),em-escopo,"quadro Teamtailor vivo, nenhuma vaga da disciplina (Senior Producer, Chief Accountant, Cinematic Animator)"
Climax Studios (Keywords),Developer,London,London,England,https://www.climaxstudios.com/,NOVO,em-escopo,porta-ok:https://www.climaxstudios.com
Cloak and Dagger Games,Developer,London,London,England,https://cadgames.weebly.com/,NOVO,em-escopo,porta-ok:https://cadgames.weebly.com
Coal Supper,Developer,London,London,England,https://coalsupper.com/,NOVO,em-escopo,porta-ok:https://coalsupper.com
Colossal Games,Developer,London,London,England,https://www.colossalgames.co.uk/,NOVO,em-escopo,porta-ok:https://www.colossalgames.co.uk
com2us,Mobile,London,London,England,https://www.com2us.com,NOVO,em-escopo,porta-ok:https://www.com2us.com/careers
Conradical Games,Developer,London,London,England,https://conradicalgames.netlify.app,NOVO,em-escopo,porta-ok:https://conradicalgames.netlify.app/careers
Curve Digital,Developer and Publisher,London,London,England,https://www.curve-digital.com,ja conhecido (painel/csv),em-escopo,"site vivo, porta de carreiras nao localizada no HTML"
Curve Games (Nazara Technologies),Publisher,London,London,England,https://curvegames.com/,ja conhecido (painel/csv),fora-de-escopo,nao-triado
Curve Studios,Publisher,London,London,England,https://curvegames.com/,ja conhecido (painel/csv),fora-de-escopo,nao-triado
Dark Math Games,Developer,London,London,England,https://xxxnightshift.game/,NOVO,em-escopo,porta-sem-resposta
Digital Matters,Publisher,London,London,England,https://www.digitalmatterspublishing.com,NOVO,fora-de-escopo,nao-triado
Distractionware,Developer,London,London,England,https://www.distractionware.com,NOVO,em-escopo,porta-ok:https://www.distractionware.com
Door407,Developer,London,London,England,https://door407.com/,NOVO,em-escopo,porta-ok:https://door407.com
Drake Star Partners,Investment,London,London,England,https://www.drakestar.com/,NOVO,fora-de-escopo,nao-triado
