# Fila gamedevmap do resto da Europa que trabalha em ingles, colhida em 06/09
# Formato: nome,tipo,cidade,estado,pais,site,status
# So os do tipo Developer e Developer and Publisher. Filtrar por encaixe antes de aprovar.
# Sweden e Denmark ficaram de fora: o gamedevmap devolveu pagina vazia para os dois nesta rodada.
Alvera Studios,Developer,London,London,United Kingdom,https://alverastudios.com/,NOVO
Aquila Interactive,Developer and Publisher,London,London,United Kingdom,https://aquilainteractive.io/,NOVO
Bad Logic Studios,Developer,Coventry,West Midlands,United Kingdom,http://badlogicstudios.com/,NOVO
BerserkBoy Games,Developer,London,London,United Kingdom,https://berserkboygames.com/,NOVO
Birdmask Studio,Developer,London,London,United Kingdom,https://birdmaskstudio.itch.io/,NOVO
Broken Spaceship,Developer,London,London,United Kingdom,https://www.brokenspaceship.com/,NOVO
Broxcorp,Developer,London,London,United Kingdom,https://broxcorp.com/,NOVO
Calligram Studio,Developer,London,London,United Kingdom,https://calligramstudio.com/,NOVO
Enchanted Arcade,Developer,London,London,United Kingdom,https://www.enchantedarcade.com/,NOVO
FOXBOY Productions,Developer,London,London,United Kingdom,https://www.foxboyproductions.com/,NOVO
Golden Horde Studios,Developer,Cambridge,Cambridgeshire,United Kingdom,https://goldenhordestudios.com/,NOVO
Many Cats Studios,Developer,London,London,United Kingdom,https://www.manycats.uk/,NOVO
Nocturnal Interactive,Developer,Rotheram,Yorkshire,United Kingdom,https://impress.games/press-kit/nocturnal-interactive,NOVO
Offroad Games,Developer,London,London,United Kingdom,https://offroadgames.co/,NOVO
RubberBand Games,Developer,London,London,United Kingdom,https://www.rubberbandgames.com/,NOVO
Activision Dublin,Developer and Publisher,Dublin,Leinster,Ireland,https://activision.com/,NOVO
Berry Bite,Developer,Dublin,Leinster,Ireland,https://berrybitegames.com/,NOVO
Biscuit Factory Games,Developer,Dublin,Leinster,Ireland,https://www.biscuitfactorygames.com/,NOVO
Black Shamrock (Virtuos),Developer,Dublin,Leinster,Ireland,https://www.black-shamrock.com/,NOVO
Day Off Interactive,Developer,Dublin,Leinster,Ireland,https://dayoff.ie/,NOVO
Demonware (Activision),Developer and Publisher,Dublin,Leinster,Ireland,https://www.demonware.net/,NOVO
DIGIT Game Studios (Scopely),Developer,Dublin,Leinster,Ireland,https://www.scopely.com/,NOVO
Dreamfeel,Developer,Dublin,Leinster,Ireland,https://dreamfeel.ie/,NOVO
Electric Square (Keywords),Developer,Dublin,Leinster,Ireland,https://electricsquare.com/,NOVO
Enigma Studio,Developer,Galway,Galway,Ireland,https://www.enigmastud.io/,NOVO
Fierce Fun,Developer,Dublin,Leinster,Ireland,https://www.fiercefun.com,NOVO
Frogwares,Developer,Dublin,Leinster,Ireland,https://www.frogwares.com,NOVO
Gambrinous,Developer,Dublin,Leinster,Ireland,http://www.gambrinous.com,NOVO
Hangry Owl Games,Developer,Wicklow,Leinster,Ireland,https://hangryowl.games/,NOVO
Howling Hamster Games,Developer,Galway,Connacht,Ireland,https://www.howlinghamster.com,NOVO
Idle Burch,Developer,Dublin,Leinster,Ireland,http://idlebirch.com/,NOVO
Pewter Games,Developer,Dublin,Leinster,Ireland,https://www.pewtergamesstudios.com,NOVO
Psychic Software,Developer,Galway,Connacht,Ireland,http://www.psychicsoftware.com/,NOVO
RetroNeo Games,Developer,Dublin,Leinster,Ireland,https://www.retroneogames.com,NOVO
Rhino Games,Developer,Dublin,Leinster,Ireland,https://www.rhinogames.ie/,NOVO
Romero Games,Developer,Galway,Connacht,Ireland,https://romerogames.com/,NOVO
Scarecrow Studio,Developer and Publisher,Dublin,Leinster,Ireland,https://www.scarecrow-studio.com,NOVO
Spooky Doorway,Developer,Galway,Connacht,Ireland,https://www.spookydoorway.com/,NOVO
Story Toys,Developer,Dublin,Leinster,Ireland,https://www.storytoys.com,NOVO
Studio RUCACH,Developer,Galway,Connacht,Ireland,https://www.rucach.com/,NOVO
The Crayon Eating Company,Developer,Wexford,Wexford,Ireland,https://crayondev.ie/,NOVO
The Pokemon Company International,Developer,Dublin,Leinster,Ireland,https://www.pokemon.com,NOVO
Viridian Software,Developer,Dublin,Leinster,Ireland,https://www.viridiansoftware.com,NOVO
2Dynamic Games,Developer,Krakow,Krakow,Poland,https://2dynamic.azurewebsites.net/,NOVO
Above the Desk,Developer,Warsaw,Mazovia,Poland,https://abovethedesk.games/,NOVO
Adria Games,Developer,Bydgoszcz,Kuyavian-Pomeranian,Poland,https://adriagames.com/,NOVO
Afterburn,Developer,Lodz,Lodz,Poland,https://afterburn.games/,NOVO
Ancient Forge Studio,Developer,Remote,Remote,Poland,https://ancientforgestudio.com/,NOVO
Another Angle Games,Developer,Warsaw,Masovian,Poland,https://shadowoftheroad.com/,NOVO
Anshar Studios,Developer,Katowice,Silesia,Poland,https://ansharstudios.com/,NOVO
Antistatic Studios,Developer,Krakow,Krakow,Poland,https://antistaticstudios.net/,NOVO
Arclight Creations,Developer,Warsaw,Masovian,Poland,https://www.arclightcreations.pl/,NOVO
Artifex Mundi,Developer,Katowice,Silesia,Poland,https://artifexmundi.com/,NOVO
Artifex Mundi,Developer,Warsaw,Masovian,Poland,https://artifexmundi.com/,NOVO
Artificer (Devolver Digital),Developer,Warsaw,Masovian,Poland,https://artificer.com/,NOVO
Awesome Games Studio,Developer,Krakow,Krakow,Poland,https://awesomegamesstudio.com/,NOVO
Baby Bison Games,Developer,Warsaw,Masovian,Poland,http://www.babybisongames.com/,NOVO
Baked Games,Developer,Czeladź,Krakow,Poland,https://www.bakedgames.pl/,NOVO
Bearded Brothers Games,Developer,Warsaw,Masovian,Poland,https://beardedbrothers.games/,NOVO
Black Lantern Collective,Developer and Publisher,Krakow,Lesser Poland,Poland,https://blacklanterncollective.com/,NOVO
Blank Game Studios,Developer,Warsaw,Masovian,Poland,https://blankgamestudios.com/,NOVO
Blue Sunset Games,Developer,Gdansk,Pomorskie,Poland,http://bluesunsetgames.com/,NOVO
Boombit,Developer and Publisher,Gdansk,Pomorskie,Poland,https://boombit.com/,NOVO
Broken Spear Inc.,Developer,Krakow,Krakow,Poland,https://www.broken-spear.com/,NOVO
Buckshot Software,Developer,Warsaw,Masovian,Poland,http://www.buckshotsoftware.pl/,NOVO
ByteBarrel,Developer,Gdansk,Pomorskie,Poland,https://bytebarrel.com/,NOVO
Cat-astrophe Games,Developer,Wroclaw,Lower Silesia,Poland,https://cat-astrophe-games.com/,NOVO
ChaosForge,Developer,Wroclaw,Lower Silesia,Poland,https://chaosforge.org/,NOVO
Chess & Checkers Games,Developer,Warsaw,Masovian,Poland,https://www.chessandcheckers.io/,NOVO
Chicken Launcher,Developer,Wroclaw,Lower Silesia,Poland,https://awakenrealms.com/,NOVO
Ci Games,Developer and Publisher,Warsaw,Masovian,Poland,https://cigames.com/,NOVO
Code Horizon,Developer,Katowice,Silesia,Poland,https://www.codehorizon.pl,NOVO
CodeJungle,Developer,Przystajn,Silesia,Poland,https://www.codejungle.pl,NOVO
Cogwheel Software,Developer,Warsaw,Masovian,Poland,https://cogwheelsoftware.com/,NOVO
CreativeForge Games,Developer,Warsaw,Masovian,Poland,https://www.creativeforge.pl,NOVO
Creepy Jar,Developer,Warsaw,Masovian,Poland,https://creepyjar.com/e,NOVO
Critical Hit Games,Developer,Warsaw,Masovian,Poland,https://criticalhit.games/,NOVO
Crunching Koalas,Developer and Publisher,Warsaw,Masovian,Poland,http://www.crunchingkoalas.com/,NOVO
Dark Jay Studio,Developer,Gdansk,West Pomeranian,Poland,https://darkjay.com/,NOVO
Destructive Creations,Developer,Gliwice,Silesia,Poland,https://destructivecreations.com/,NOVO
Detalion,Developer,Rzeszow,Subcarpathia,Poland,http://www.detalion.com/,NOVO
Different Tales,Developer,Warsaw,Masovian,Poland,https://differenttales.com,NOVO
Digifox Games,Developer,Warsaw,Masovian,Poland,https://digifox.games/,NOVO
Digital Daredevils,Developer,Wroclaw,Lower Silesia,Poland,https://digitaldaredevils.pl/,NOVO
Disco Angels,Developer,Lodz,Lodz,Poland,https://disco-angels.itch.io/heartbreaker,NOVO
Donkey Crew,Developer,Wroclaw,Lower Silesia,Poland,https://www.donkey.team/,NOVO
Drago Entertainment,Developer,Krakow,Lesser Poland,Poland,https://www.drago-entertainment.com,NOVO
Draw Distance,Developer,Krakow,Lesser Poland,Poland,https://drawdistance.dev/,NOVO
Egobounds,Developer,Olsztyn,Warminsko-Mazurskie,Poland,https://www.egobounds.com/,NOVO
Electric Succubi,Developer,Wejherowski,Pomorskie,Poland,https://keeperrl.com/,NOVO
Electric Succubi,Developer,Wroclaw,Lower Silesia,Poland,https://keeperrl.com/,NOVO
Elsewhere Entertainment,Developer,Warsaw,Masovian,Poland,https://www.activision.com/elsewhere,NOVO
Eremite Games,Developer,Wroclaw,Lower Silesia,Poland,https://eremitegames.com/,NOVO
Event Horizon,Developer,Gdynia,Pomorskie,Poland,https://www.evehor.com,NOVO
Exor Studios,Developer,Szczecin,West Pomeranian,Poland,https://www.exorstudios.com,NOVO
Far From Home,Developer,Wroclaw,Lower Silesia,Poland,https://www.farfromhomegames.com,NOVO
Far From Home Games,Developer,Wroclaw,Lower Silesia,Poland,https://www.farfromhomegames.com/,NOVO
Flying Wild Hog,Developer,Krakow,Lesser Poland,Poland,https://flyingwildhog.com/,NOVO
Flying Wild Hog,Developer,Rzeszow,Subcarpathia,Poland,https://flyingwildhog.com/,NOVO
Flying Wild Hog,Developer,Warsaw,Masovian,Poland,https://flyingwildhog.com/,NOVO
Fool’s Theory,Developer,Bielsko-Biala,Silesia,Poland,https://foolstheory.com/,NOVO
Forever Entertainment,Developer and Publisher,Gdynia,Pomorskie,Poland,https://forever-entertainment.com/,NOVO
Fractured Byte,Developer,Warsaw,Masovian,Poland,https://fracturedbyte.com/,NOVO
Free Fall Entertainment,Developer,Wroclaw,Lower Silesia,Poland,https://www.freefallgames.dev/,NOVO
Frozen District,Developer,Krakow,Krakow,Poland,https://frozendistrict.com/,NOVO
Frozen Way,Developer,Krakow,Krakow,Poland,https://frozenwaygames.com/,NOVO
Fulqrum Games,Developer and Publisher,Warsaw,Masovian,Poland,https://fulqrum.games/,NOVO
FUMES Team,Developer,Lodz,Lodz,Poland,https://tarkovsky.itch.io/,NOVO
Fumi Games,Developer,Warsaw,Masovian,Poland,https://www.fumigames.com/,NOVO
Gamedust,Developer and Publisher,Poznan,Greater Poland,Poland,https://www.gamedust.co,NOVO
GameHunters Studio,Developer,Warsaw,Masovian,Poland,https://gamehunters-studio.com/,NOVO
GameLoad,Developer,Warsaw,Masovian,Poland,https://gameload.gg/,NOVO
