# Fila gamedevmap da segunda leva da Europa, colhida em 06/09
# Formato: nome,tipo,cidade,estado,pais,site,status
# Belgica 52, Italia 70, Portugal 26, Eslovaquia 24, Romenia 22, Austria 20, Estonia 17, Letonia 5.
# So os do tipo Developer e Developer and Publisher, ja passados pelo dedupe da campanha.
A Llama in a Pajama,Developer,Ghent,Vlaanderen,Belgium,https://pajamallama.be/,NOVO
Abonneer,Developer,Zedelgem,West Flanders,Belgium,https://abonneer-games.com/,NOVO
AlterEyes,Developer,Hasselt,Limburg,Belgium,https://altereyes.com/,NOVO
Appeal Studios (THQ Nordic),Developer,Charleroi,Hainaut,Belgium,https://appeal-studios.com/,NOVO
BiteMe Games,Developer,Koksijde,West Flanders,Belgium,https://www.bitemegames.com/,NOVO
Bolt Blaster Games,Developer,Diepenbeek,Limburg,Belgium,https://boltblastergames.com/,NOVO
Briganti,Developer,Schoten,Antwerp,Belgium,https://www.dungeonalchemist.com/,NOVO
Business Goose,Developer,Hasselt,Limburg,Belgium,https://www.businessgoose.be/,NOVO
Caspar Croes,Developer,Aalter,East Flanders,Belgium,https://caspercroes.com/,NOVO
Cybernetic Walrus,Developer,Antwerp,Antwerp,Belgium,https://www.cyberneticwalrus.com,NOVO
Daisy Games,Developer,Ghent,Vlaanderen,Belgium,https://daisygames.org/,NOVO
Ervya Studios,Developer,Brussels,Brussels,Belgium,https://ervyastudios.com/,NOVO
Evil Pug Games,Developer,Walcourt,Namur,Belgium,https://evilpug.games/,NOVO
EXiin,Developer,Brussels,Brussels,Belgium,https://www.exiin.com,NOVO
Fancy Cat Interactive,Developer,Ghent,Vlaanderen,Belgium,https://fancycatinteractive.com/,NOVO
Fishing Cactus,Developer,Mons,Hainaut,Belgium,http://fishingcactus.com/,NOVO
Flipit Games,Developer,Mons,Wallonia,Belgium,https://www.flipitgames.com,NOVO
Funtomata,Developer,Chaineux,Liege,Belgium,https://www.funtomata.com/en/,NOVO
Get Up Games,Developer,Ghent,Vlaanderen,Belgium,https://www.blazingsails.com/,NOVO
Godspear Games,Developer,Kortrijk,West Flanders,Belgium,https://godspeargames.com/,NOVO
Gradient Games,Developer,Genk,Limburg,Belgium,https://gradientgames.net/,NOVO
Happy Volcano,Developer,Leuven,Vlaams Brabant,Belgium,https://www.happyvolcano.com/,NOVO
Hyperion Entertainment,Developer and Publisher,Brussels,Brussels,Belgium,https://www.hyperion-entertainment.biz,NOVO
I-Illusions,Developer,Brussels,Brussels,Belgium,https://www.i-illusions.com,NOVO
LuGus Studios,Developer,Genk,Limburg,Belgium,https://www.lugus-studios.be,NOVO
LuGus Studios,Developer,Hasselt,Limburg,Belgium,https://www.lugus-studios.be,NOVO
Mantis Games,Developer,Ghent,Vlaanderen,Belgium,https://mantis.games/,NOVO
Maracas Studio,Developer,Charleroi,Hainaut,Belgium,https://maracas-studio.com/,NOVO
Maratus,Developer,Charleroi,Hainaut,Belgium,https://www.maratusgames.com,NOVO
MoonMonster Studios,Developer,Kortrijk,West Flanders,Belgium,https://www.moonmonster.be,NOVO
N-zone,Developer,Angleur,Wallonia,Belgium,https://www.n-zone.be/,NOVO
Neopica (NACON),Developer,Ghent,Vlaanderen,Belgium,https://www.neopica.com,NOVO
Oddshot Games,Developer,Ghent,Vlaanderen,Belgium,https://oddshot.gg/,NOVO
On a Roll Studio,Developer,Leuven,Vlaams Brabant,Belgium,https://www.tumblr.com/onarollstudios,NOVO
Pajama Llama Games,Developer,Ghent,Vlaanderen,Belgium,https://www.pajamallama.be,NOVO
Poppins & Wayne,Developer,Antwerp,Antwerp,Belgium,https://poppinswayne.com/,NOVO
Poti Poti Studio,Developer,Brussels,Brussels,Belgium,https://www.potipoti.studio/,NOVO
PreviewLabs,Developer,Wetteren,East Flanders,Belgium,https://previewlabs.com/,NOVO
Rablo Games,Developer,Pepinster,Liege,Belgium,https://rablo.games/,NOVO
Ram Ram Games,Developer,Brussels,Brussels,Belgium,http://30birdsgame.com/,NOVO
Rebelle Productions,Developer,Gembloux,Namur,Belgium,https://www.rebelle-productions.be,NOVO
Rocket Vulture,Developer,Leuven,Vlaams Brabant,Belgium,https://www.rocketvulture.com/,NOVO
Salty Lemon Entertainment,Developer,Kortrijk,West Flanders,Belgium,https://www.saltylemonentertainment.com,NOVO
Sixtyfour,Developer,Hasselt,Limburg,Belgium,https://www.sixtyfour.be/,NOVO
Slappy Inc,Developer,Kortrijk,West Flanders,Belgium,https://slappyinc.com/,NOVO
Studio Tolima,Developer,Brussels,Brussels,Belgium,https://studiotolima.com/,NOVO
Studio Waterzooi,Developer,Brussels,Brussels,Belgium,https://studiowaterzooi.com/,NOVO
Tale of Tales,Developer,Ghent,Vlaanderen,Belgium,https://www.tale-of-tales.com/,NOVO
The Artistocrats,Developer,Maasmechelen,Limburg,Belgium,https://www.the-artistocrats.com,NOVO
Tovenaar Games,Developer,Ghent,Vlaanderen,Belgium,https://www.tovenaargames.be,NOVO
Warcave,Developer,Geel,Antwerp,Belgium,https://www.warcave.com,NOVO
Wee Taps,Developer,Hasselt,Limburg,Belgium,http://weetaps.com/,NOVO
Awfully Nice Studios,Developer,Innsbruck,Tyrol,Austria,https://awfullynicestudios.com/,NOVO
Blanksword,Developer,Vienna,Vienna,Austria,https://blanksword.carrd.co/,NOVO
Bongfish,Developer,Graz,Steiermark,Austria,https://bongfish.com/,NOVO
Broken Rules,Developer,Vienna,Vienna,Austria,https://www.brokenrul.es/,NOVO
ByteParrot,Developer,Linz,Upper Austria,Austria,https://byteparrot.com/,NOVO
Clockstone Studio,Developer,Innsbruck,Tyrol,Austria,https://clockstone.com/,NOVO
Everflux Games,Developer,Innsbruck,Tyrol,Austria,https://everfluxgames.com/,NOVO
Fire Totem Games,Developer,Wernberg,Carinthia,Austria,https://www.firetotemgames.com/,NOVO
Follow the Feathers,Developer,Vienna,Vienna,Austria,https://www.followfeathers.com,NOVO
Hexdraw,Developer,Niederndorf,Tyrol,Austria,https://www.hexdraw.com,NOVO
Hugging Dragons,Developer,Vienna,Vienna,Austria,http://huggingdragons.com,NOVO
Mi'pu'mi Games,Developer,Vienna,Vienna,Austria,https://www.mipumi.com,NOVO
Microbird Games,Developer,Vienna,Vienna,Austria,https://www.microbird-games.com,NOVO
Owned by Gravity,Developer,Vienna,Vienna,Austria,https://www.ownedbygravity.com/,NOVO
Poink Games,Developer,Vienna,Vienna,Austria,https://impress.games/press-kit/poink-games/felbound,NOVO
Redox Interactive,Developer,Salzburg,Salzburg,Austria,https://redox-interactive.com/,NOVO
Reignite Games,Developer,Vienna,Vienna,Austria,https://www.pantarheigame.com/,NOVO
stillalive studios,Developer,Innsbruck,Tyrol,Austria,https://www.stillalive-studios.com,NOVO
Unmade Games,Developer,Vienna,Vienna,Austria,https://unmadegames.com/,NOVO
Zeppelin Studio,Developer,Vienna,Vienna,Austria,https://zeppelinstudio.net/,NOVO
Aden Interactive,Developer and Publisher,Caldas da Rainha,Leiria,Portugal,https://adeninteractive.com/,NOVO
Amplify Creations,Developer,Lisbon,Lisbon,Portugal,https://amplify.pt/,NOVO
Arkadium,Developer,Lisbon,Lisbon,Portugal,https://www.arkadium.com/,NOVO
Arkadium,Developer,Porto,Grande Porto,Portugal,https://www.arkadium.com/,NOVO
BIGMOON Entertainment,Developer,Porto,Grande Porto,Portugal,https://www.bigmoonstudios.com/,NOVO
Code Three Fifty One,Developer,Lisbon,Lisbon,Portugal,https://code351.com/,NOVO
Digitality Games,Developer,Fundão,Castelo Branco,Portugal,https://digitalitygames.com/,NOVO
Exclusible,Developer,Carnaxide,Oeiras,Portugal,https://www.exclusible.com/,NOVO
Fortis Games,Developer and Publisher,Remote,Remote,Portugal,https://www.fortisgames.com/,NOVO
Fun Punch Games,Developer,Lisbon,Lisbon,Portugal,https://www.funpunchgames.com,NOVO
ImaginationOverflow,Developer,Lisbon,Lisbon,Portugal,https://imaginationoverflow.com/,NOVO
Kwalee,Developer and Publisher,Almada,Lisbon,Portugal,https://kwalee.com,NOVO
Marmalade Game Studio,Developer,Lisbon,Lisbon,Portugal,https://www.marmaladegamestudio.com,NOVO
Massive Galaxy Studios,Developer,Lisbon,Lisbon,Portugal,https://massivegalaxy.com/,NOVO
Moonberry Studios,Developer,Porto,Grande Porto,Portugal,https://www.moonberry-studios.com,NOVO
Not a Game Studio,Developer,Lisbon,Lisbon,Portugal,https://www.notagamestudio.com,NOVO
Once a Bird Games,Developer,Porto,Grande Porto,Portugal,https://www.onceabird.com,NOVO
Poke Life Studio,Developer,Braga,Braga,Portugal,https://www.pokelifestudio.com,NOVO
Serius Games,Developer,Lisbon,Lisbon,Portugal,https://www.seriusgames.com,NOVO
Spawn Studios,Developer,Sao Joao da Madeira,Grande Porto,Portugal,https://www.spawnstudios.com,NOVO
United Ghouls Studio,Developer,Covilha,Centro,Portugal,https://ugs.pt/,NOVO
Upfall Studios,Developer,Lisbon,Lisbon,Portugal,https://www.upfallstudios.com,NOVO
Whales and Games,Developer,Lisbon,Lisbon,Portugal,https://whalesandgames.com/,NOVO
Whalestork Interactive,Developer,Lisbon,Lisbon,Portugal,https://www.whalestork.com,NOVO
WindLimit,Developer,Lisbon,Lisbon,Portugal,https://www.windlimit.com/,NOVO
Zarc Attack,Developer,Leiria,Leiria,Portugal,https://zarcattack.com/,NOVO
Ablaze Interactive,Developer,Bucharest,Bucharest,Romania,https://ablazeinteractive.com/,NOVO
Breadcrumbs Interactive,Developer,Cluj-Napoca,Cluj,Romania,https://breadcrumbsinteractive.com/,NOVO
CRIAN SOFT,Developer,Bucharest,Bucharest,Romania,https://www.criansoft.com/home.html,NOVO
EA Sports (Electronic Arts),Developer,Bucharest,Bucharest,Romania,https://www.ea.com/ea-studios/ea-sports,NOVO
Fortis Games,Developer and Publisher,Remote,Remote,Romania,https://www.fortisgames.com/,NOVO
Funcom (Tencent),Developer,Bucharest,Bucharest,Romania,https://www.funcom.com,NOVO
Galactic Crows,Developer,Iasi,Iasi,Romania,https://www.galactic-crows.com/,NOVO
Gummycat,Developer,Bucharest,Bucharest,Romania,https://www.gummycat.com,NOVO
Hexworks (CI Games),Developer,Bucharest,Bucharest,Romania,https://cigames.com/,NOVO
Killhouse Games,Developer,Bucharest,Bucharest,Romania,https://www.inthekillhouse.com,NOVO
Last Tales,Developer,Bucharest,Bucharest,Romania,https://www.lasttales.com,NOVO
Midnight.Works,Developer and Publisher,Bucharest,Bucharest,Romania,https://midnight.works/,NOVO
Midnight.Works,Developer and Publisher,Iasi,Iasi,Romania,https://midnight.works/,NOVO
Qwerty Games,Developer,Drobeta Turnu Severin,Oltenia,Romania,https://www.qwerty.games/,NOVO
Sand Sailor Studio,Developer,Bucharest,Bucharest,Romania,https://sandsailorstudio.com/,NOVO
SBSR,Developer,Bucharest,Bucharest,Romania,https://sbsr.games/,NOVO
Stillfront Group,Developer,Bucharest,Bucharest,Romania,https://stillfront.com/,NOVO
Stoneskip Studio,Developer,Cluj-Napoca,Cluj,Romania,https://stoneskip.studio/,NOVO
Stuck In Attic,Developer,Cluj-Napoca,Cluj,Romania,https://www.gibbousgame.com,NOVO
Those Awesome Guys,Developer and Publisher,Bucharest,Bucharest,Romania,https://thoseawesomeguys.com/,NOVO
Ubisoft Bucharest,Developer and Publisher,Bucharest,Bucharest,Romania,https://www.ubisoft.com,NOVO
White Pond Games,Developer,Bucharest,Bucharest,Romania,https://www.urbanstrifegame.com,NOVO
Bluemoon Interactive,Developer,Tallinn,Harju,Estonia,http://www.bluemoon.ee/,NOVO
Chaosmonger Studio,Developer,Tallinn,Harju,Estonia,https://www.chaosmonger.com/,NOVO
Chosen Bun,Developer,Tallinn,Harju,Estonia,https://chosenbun.games/,NOVO
CM Games,Developer,Tallinn,Harju,Estonia,https://cm.games/,NOVO
Creative Mobile,Developer and Publisher,Tallinn,Harju,Estonia,https://www.creative-mobile.com,NOVO
Cydonian Games,Developer,Tallinn,Harju,Estonia,http://cydonian.games/,NOVO
Gamecan,Developer,Parnu,Parnumaa,Estonia,https://gamecan.eu/,NOVO
Goose Minded,Developer,Tallinn,Harju,Estonia,https://gamedevestonia.ee/database/goose-minded/,NOVO
Hammer & Ravens,Developer,Tallinn,Harju,Estonia,https://www.hammerandravens.com/,NOVO
Interactive Fate,Developer,Tartu,Tartu,Estonia,https://www.interactivefate.com/,NOVO
Mike Klubnika,Developer,Tallinn,Harju,Estonia,https://mikeklubnika.itch.io/,NOVO
Mister Morris Games,Developer,Tallinn,Harju,Estonia,https://www.mistermorris.games,NOVO
Mr. Morris Games,Developer,Tallinn,Harju,Estonia,https://mistermorris.games/,NOVO
NineZyme Entertainment,Developer,Tallinn,Harju,Estonia,http://ninezyme.com/,NOVO
Placeholder Gameworks,Developer and Publisher,Tallinn,Harju,Estonia,https://placeholder.games/,NOVO
