# Fila gamedevmap da SEGUNDA E TERCEIRA PAGINA de cada pais, colhida em 06/09
# Formato: nome,tipo,cidade,estado,pais,site,status
# Estes 515 estudios estavam ESCONDIDOS pela paginacao de 100 por pais do gamedevmap.
# Alemanha 121, Polonia 112, Espanha 92, Suecia 108, Holanda 70, Italia 12. Total 515.
# ATENCAO: os 70 da Holanda invalidam parcialmente a conclusao que escrevi mais cedo hoje
# de que os 129 estudios de Suica, Finlandia e Holanda estavam varridos ate o fim.
EA Sports (Electronic Arts),Developer,Cologne,Nordrhein-Westfalen,Germany,https://www.ea.com/ea-studios/ea-sports,NOVO
Echolox,Developer,Bochum,Nordrhein-Westfalen,Germany,http://www.echolox.com/,NOVO
edyoutec,Developer,Berlin,Berlin,Germany,https://edyoutec.com/,NOVO
edyoutec,Developer,Monchengladbach,Nordrhein-Westfalen,Germany,https://edyoutec.com/,NOVO
Eggcode,Developer,Vlotho,Nordrhein-Westfalen,Germany,https://www.eggcodegames.com/,NOVO
Egosoft,Developer,Würselen,Nordrhein-Westfalen,Germany,https://www.egosoft.com,NOVO
Emberstorm Entertainment,Developer,Berlin,Berlin,Germany,https://emberstorm.de/,NOVO
Encurio,Developer,Cologne,Nordrhein-Westfalen,Germany,https://www.encurio-gaming.com/,NOVO
Envision Entertainment,Developer,Ingelheim,Rhineland-Palatinate,Germany,https://www.envision-entertainment.de,NOVO
exDream entertainment,Developer,Hannover,Lower Saxony,Germany,https://www.exdream.com,NOVO
eXplore Studio,Developer,Munich,Bayern,Germany,https://explorestudiogames.com/,NOVO
Fakt Software,Developer,Zwickau,Saxony,Germany,https://www.fakt-software.de,NOVO
Fancy Bytes,Developer,Oberhausen,Bayern,Germany,https://www.fancy-bytes.de,NOVO
Farbspiel Interactive,Developer,Cologne,Nordrhein-Westfalen,Germany,https://farbspiel-interactive.com/,NOVO
FDG Entertainment,Developer and Publisher,Munich,Bayern,Germany,https://fdg-entertainment.com/,NOVO
Findling Games,Developer,Berlin,Berlin,Germany,https://findlinggames.com/,NOVO
Finitude,Developer,Berlin,Berlin,Germany,https://www.finitude.dev/,NOVO
FIRECHICK,Developer,Dusseldorf,Nordrhein-Westfalen,Germany,https://firechick.de/,NOVO
Fishlabs,Developer,Hamburg,Metropolregion Hamburg,Germany,https://fishlabs.de/,NOVO
Flow Fire Games,Developer,Berlin,Berlin,Germany,https://www.flowfiregames.com/,NOVO
Forlorn Alex,Developer,Leverkusen,Nordrhein-Westfalen,Germany,https://forlornmemories.com/,NOVO
Fourexo Entertainment,Developer,Dresden,Saxony,Germany,http://highrisecitygame.com/,NOVO
Friedemann,Developer,Berlin,Berlin,Germany,https://allmenroeder.com/,NOVO
Funatics (Jumpgate),Developer,Schermbeck,Nordrhein-Westfalen,Germany,https://www.funatics.de/,NOVO
FusionPlay,Developer,Leipzig,Saxony,Germany,https://www.fusion-play.com/,NOVO
Gaijin Network,Developer,Karlsruhe,Baden-Wurttemberg,Germany,https://www.gaijinent.com,NOVO
gameXcite (Jumpgate),Developer,Hamburg,Metropolregion Hamburg,Germany,https://www.gamexcite.de/,NOVO
Gaming Minds Studios,Developer,Gutersloh,Nordrhein-Westfalen,Germany,https://www.gamingmindsstudios.com,NOVO
Gentlymad,Developer,Trier,Rhineland,Germany,https://gentlymad.org/,NOVO
Ghostbutter,Developer,Berlin,Berlin,Germany,https://www.ghostbutter.com,NOVO
Gora Games,Developer,Cologne,Nordrhein-Westfalen,Germany,https://gora.games/,NOVO
Grimlore Games (THQ Nordic),Developer,Munich,Bayern,Germany,https://www.grimloregames.com,NOVO
Hammer Labs,Developer,Cologne,Nordrhein-Westfalen,Germany,http://hammer-labs.com/,NOVO
HandyGames (THQ Nordic),Developer and Publisher,Giebelstadt,Bayern,Germany,https://handy-games.com/,NOVO
Happy Broccoli Games,Developer,Berlin,Berlin,Germany,https://www.happybroccoligames.com,NOVO
Happy Tuesday,Developer,Berlin,Berlin,Germany,http://happy-tuesday.com/,NOVO
Hidden Folks,Developer,Berlin,Berlin,Germany,https://hiddenfolks.com/,NOVO
Hindsight Studios,Developer,Herten,Nordrhein-Westfalen,Germany,https://www.hindsight-studios.de/,NOVO
Honig Studios,Developer,Berlin,Berlin,Germany,https://www.honigstudios.com,NOVO
Hurdy-Gurdy Games,Developer,Dusseldorf,Nordrhein-Westfalen,Germany,https://hieronymus-game.com/hurdy-gurdy-games/,NOVO
Hypnotic Owl,Developer,Leipzig,Saxony,Germany,https://hypnoticowl.com/,NOVO
iCandy Interactive,Developer,Cologne,Nordrhein-Westfalen,Germany,https://icandy.io/,NOVO
Icebird Studios,Developer,Munich,Bayern,Germany,http://icebird-studios.com/,NOVO
Impiresoft,Developer,Schwerin,Mecklenburg-Vorpommern,Germany,http://impiresoft.com/,NOVO
Inbetween Games,Developer,Berlin,Berlin,Germany,https://inbetweengames.itch.io/,NOVO
Independent Arts,Developer,Hamm,Nordrhein-Westfalen,Germany,https://www.independent-arts-software.de,NOVO
InnoGames,Developer and Publisher,Hamburg,Metropolregion Hamburg,Germany,https://www.innogames.com,NOVO
Inoutbox,Developer,Berlin,Berlin,Germany,https://inoutbox.games/,NOVO
Ion Lands,Developer,Berlin,Berlin,Germany,https://phoninghome.net/,NOVO
Irox Games,Developer,Munich,Bayern,Germany,https://irox-games.com/,NOVO
Just2D,Developer,Magdeburg,Saxony-Anhalt,Germany,https://just2d.com/,NOVO
KAIKO (THQ Nordic),Developer,Frankfurt am Main,Hesse,Germany,https://kaikogames.com/,NOVO
kaleidoscube,Developer,Ludwigsburg,Baden-Wurttemberg,Germany,https://www.kaleidoscube.com,NOVO
Kalypso Media,Developer and Publisher,Worms,Rhineland,Germany,https://www.kalypsomedia.com,NOVO
Kalypso Media Mobile,Developer and Publisher,Hamburg,Metropolregion Hamburg,Germany,https://www.kalypsomedia.com,NOVO
Keen Games,Developer,Frankfurt am Main,Hesse,Germany,https://www.keengames.com,NOVO
KING Art,Developer,Bremen,Bremen,Germany,https://kingart-games.com/,NOVO
Kinmoku Games,Developer,Frankfurt,Hesse,Germany,https://www.kinmoku.games/,NOVO
Kritzelkratz 3000,Developer,Wurzburg,Bayern,Germany,https://www.kritzelkratz.de,NOVO
L-F Studio,Developer,Munich,Bayern,Germany,https://l-f.studio/,NOVO
Lab132,Developer,Heidelberg,Baden-Wurttemberg,Germany,https://lab132.com/,NOVO
Little Bat Games,Developer,Berlin,Berlin,Germany,https://littlebat.games/,NOVO
Ludopium,Developer,Cologne,Nordrhein-Westfalen,Germany,http://www.ludopium.com/,NOVO
Mad Data,Developer,Erkrath,Nordrhein-Westfalen,Germany,https://www.mad-data.com,NOVO
Mad Vulture Games,Developer,Cologne,Nordrhein-Westfalen,Germany,https://www.madvulture.de/,NOVO
Maschinen-Mensch,Developer,Berlin,Berlin,Germany,https://www.maschinen-mensch.com,NOVO
Massive Miniteam (THQ Nordic),Developer,Cologne,Nordrhein-Westfalen,Germany,https://massiveminiteam.com/,NOVO
Mathilde Hoffmann,Developer,Hamburg,Metropolregion Hamburg,Germany,https://oddada.com/,NOVO
Max Ritters,Developer,Pulheim,Nordrhein-Westfalen,Germany,https://max-ritters.itch.io/,NOVO
MBL Development,Developer,Hamburg,Metropolregion Hamburg,Germany,https://www.mbldev.com,NOVO
Megagon Industries,Developer,Berlin,Berlin,Germany,https://megagonindustries.com/,NOVO
MELLOW Games,Developer,Cologne,Nordrhein-Westfalen,Germany,https://mellow-games.com/,NOVO
Mimimi Productions,Developer,Munich,Bayern,Germany,https://www.mimimi.games,NOVO
Mixtvision Games Publishing,Developer and Publisher,Munich,Bayern,Germany,https://mixtvision.de/,NOVO
Mobile Bits,Developer,Hamburg,Metropolregion Hamburg,Germany,https://www.mobilebits.de,NOVO
Moi Rai Games,Developer,Hamburg,Metropolregion Hamburg,Germany,https://www.moi-rai.com/,NOVO
Monokel,Developer,Cologne,Nordrhein-Westfalen,Germany,https://monokel.de/,NOVO
Monolith of Minds,Developer,Mainz,Rhineland,Germany,https://monolithofminds.com/,NOVO
Moonbyte Games,Developer,Neustadt,Rhineland,Germany,http://www.moonbytegames.com,NOVO
Mooneye Studios,Developer and Publisher,Hamburg,Metropolregion Hamburg,Germany,https://mooneyestudios.com/,NOVO
Moonlit Games,Developer,Berlin,Berlin,Germany,https://www.moonlitgames.io/,NOVO
Morphcat Games,Developer,Berlin,Berlin,Germany,http://www.morphcat.de/,NOVO
Mostly Games,Developer,Berlin,Berlin,Germany,https://mostlygames.gg/,NOVO
Mysteria Studio,Developer,Cologne,Nordrhein-Westfalen,Germany,https://mysteriastudio.com/,NOVO
Navel,Developer,Ludwigsburg,Baden-Wurttemberg,Germany,https://www.navel.cc/,NOVO
Neobird,Developer,Nuremberg,Bayern,Germany,https://www.neobird.de/en/,NOVO
New Moon Production,Developer,Hamburg,Metropolregion Hamburg,Germany,https://newmoonproduction.com/,NOVO
NightinGames,Developer,Bayreuth,Bayern,Germany,https://nightingames.com/,NOVO
Noctiluca,Developer,Berlin,Berlin,Germany,https://noctilucagames.com/,NOVO
Noio,Developer,Berlin,Berlin,Germany,https://www.noio.nl,NOVO
NUKKLEAR Digital Minds (Jumpgate),Developer,Hannover,Lower Saxony,Germany,https://www.nukklear.de/,NOVO
Nurogames,Developer,Cologne,Nordrhein-Westfalen,Germany,https://www.nurogames.com,NOVO
OFM Studios,Developer,Cologne,Nordrhein-Westfalen,Germany,https://www.onlinefussballmanager.de,NOVO
Osmotic Studios,Developer,Hamburg,Metropolregion Hamburg,Germany,https://osmoticstudios.com/,NOVO
Out of the Box Games,Developer,Berlin,Berlin,Germany,https://www.ootbg.com/,NOVO
Outline Development,Developer,Siegen,Nordrhein-Westfalen,Germany,https://www.outline-development.de,NOVO
Overhype Studios,Developer,Hamburg,Metropolregion Hamburg,Germany,https://www.battlebrothersgame.com,NOVO
Pipapo Games,Developer,Hamburg,Metropolregion Hamburg,Germany,https://pipapo.games/,NOVO
Pithead Studio,Developer,Bochum,Nordrhein-Westfalen,Germany,https://pithead-studio.com/en/,NOVO
Pixel Maniacs,Developer,Nuremberg,Bayern,Germany,https://pixel-maniacs.com/,NOVO
Pixelpizza,Developer,Hamburg,Metropolregion Hamburg,Germany,https://www.pixelpizza.de,NOVO
Pixelsplit,Developer,Eschborn,Hesse,Germany,https://pixelsplit.games/,NOVO
Playa Games,Developer,Hamburg,Metropolregion Hamburg,Germany,https://playa-games.com/,NOVO
Playing Mantis Studio,Developer,Cologne,Nordrhein-Westfalen,Germany,https://playing-mantis.io/,NOVO
Point Blank Games,Developer,Berlin,Berlin,Germany,http://www.point-blank-games.com/,NOVO
Positive Impact Games,Developer,Hamburg,Metropolregion Hamburg,Germany,https://positive-games.com/,NOVO
Potato Games Studio,Developer,Munich,Bayern,Germany,,NOVO
Prime Matter (PLAION),Developer,Munich,Bayern,Germany,https://primematter.gg/,NOVO
Productivkeller,Developer,Karlsruhe,Baden-Wurttemberg,Germany,https://produktivkeller.com/,NOVO
Proxy Studios,Developer,Erlangen,Bayern,Germany,https://www.proxy-studios.com,NOVO
Pumpernickel Studio,Developer,Munster,Nordrhein-Westfalen,Germany,https://www.pumpernickel-studio.com,NOVO
