# FILA DE PORTAS DO JHON, refeita em 06/09 depois que o Vini disse "duvido que seja so isso".
# A varredura anterior achava 16 estudios porque procurava UM formato: <form> com campo de
# arquivo E campo type=email na mesma pagina estatica. Esta relê as mesmas 7.978 paginas
# procurando SEIS portas: ATS que a campanha nunca olhou, formulario hospedado em terceiro,
# formulario proprio com upload, motor de formulario no site, mailto de vaga, e pagina que
# fala em candidatura mas monta a porta so em JavaScript.
# Ordenada pela prioridade que o Vini deu em 06/09: Canada anglofono, depois Europa.
# Os 116 dominios de dominios-sem-email.csv ja estao fora.
faixa,porta,dominio,estudio,pais,detalhe
2-Europa,ATS-NOVO,activision.com,Elsewhere Entertainment,Sweden,Workday
2-Europa,ATS-NOVO,ansharstudios.com,Anshar Studios,Poland,Traffit
2-Europa,ATS-NOVO,apoglabs.com,Apog Labs,Sweden,Recruitee
2-Europa,ATS-NOVO,black-shamrock.com,Black Shamrock (Virtuos),Ireland,Oracle
2-Europa,ATS-NOVO,boombit.com,Boombit,Poland,Traffit
2-Europa,ATS-NOVO,gamehouse.com,GameHouse - Eindhoven,Netherlands,Factorial
2-Europa,ATS-NOVO,pixelantgames.com,PixelAnt (Sumo Digital),Poland,eRecruiter
2-Europa,ATS-NOVO,rebel-wolves.com,Rebel Wolves,Poland,eRecruiter
2-Europa,ATS-NOVO,superhotgame.com,Superhot Team,Poland,Homerun
2-Europa,HOSPEDADO,30birdsgame.com,Ram Ram Games,Belgium,Notion
2-Europa,HOSPEDADO,abonneer-games.com,Abonneer,Belgium,Formspree
2-Europa,HOSPEDADO,alverastudios.com,Alvera Studios,United Kingdom,MS Forms
2-Europa,HOSPEDADO,arumastudios.com,Aruma Studios,Spain,Formspree
2-Europa,HOSPEDADO,aurorapunks.com,Aurora Punks,Sweden,Google Forms
2-Europa,HOSPEDADO,azerion.com,Azerion,Netherlands,HubSpot
2-Europa,HOSPEDADO,brimstone.games,Brimstone Games,Sweden,Notion
2-Europa,HOSPEDADO,dayoff.ie,Day Off Interactive,Ireland,Notion
2-Europa,HOSPEDADO,deepworlds.studio,Deep Worlds,Switzerland,Tally
2-Europa,HOSPEDADO,dutchgamestudio.com,Dutch Game Studio,Netherlands,Tally
2-Europa,HOSPEDADO,exclusible.com,Exclusible,Portugal,Notion
2-Europa,HOSPEDADO,fantasticsignals.com,Fantastic Signals,Latvia,Google Forms
2-Europa,HOSPEDADO,fiercefun.com,Fierce Fun,Ireland,JotForm
2-Europa,HOSPEDADO,framebunker.com,Framebunker,Denmark,Typeform
2-Europa,HOSPEDADO,geometricinteractive.com,Geometric Interactive,Denmark,Google Forms
2-Europa,HOSPEDADO,grimmwyrdstudios.com,Grimmwyrd Studios,Netherlands,Google Forms
2-Europa,HOSPEDADO,hypergames.no,Hyper Games,Norway,Notion
2-Europa,HOSPEDADO,klabater.com,Klabater,Poland,Google Forms
2-Europa,HOSPEDADO,monstercouch.com,Monster Couch,Poland,Google Forms
2-Europa,HOSPEDADO,pixelsplit.games,Pixelsplit,Germany,Notion
2-Europa,HOSPEDADO,play-sys.com,PlaySys,Italy,Google Forms
2-Europa,HOSPEDADO,ranj.nl,Ra.nj,Netherlands,HubSpot
2-Europa,HOSPEDADO,romerogames.com,Romero Games,Ireland,Google Forms
2-Europa,HOSPEDADO,tinybuild.com,Eerie Guest Studios (tinyBuild),Netherlands,123FormBuilder
2-Europa,HOSPEDADO,unity3d.com,Unity Technologies,Denmark,Google Forms
2-Europa,JS-SO,10chambers.com,10 Chambers,Sweden,root
2-Europa,JS-SO,abbeygames.com,Abbey Games,Netherlands,jobs
2-Europa,JS-SO,aonic.co,Aonic,Sweden,careers
