estudio,cidade,provincia,quadro,estado,detalhe,disciplinas
12field Animation,Melbourne,Australia,https://12field.com.au/work-with-us/,sem-arte,"200, 1238 chars",
2UP Games,Auckland,New Zealand,https://www.2up.games/jobs,erro,<urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 al,
37Degrees Studio,Wellington,New Zealand,https://37degrees-studio.com/careers/,ARTE,200,visual development
5 Lives Studios,Brisbane,Australia,https://www.5livesstudios.com/careers,sem-arte,"200, 3045 chars",
AKQA,Melbourne,Australia,http://www.akqa.com/careers/,erro,HTTP Error 403: Forbidden,
Alderon Games,,Australia,https://alderongames.com/work-with-us,sem-arte,"200, 1100 chars",
altArcade,Adelaide,Australia,https://altarcade.wordpress.com/contact/,sem-arte,"200, 962 chars",
Arcade Oven,Sydney,Australia,https://arcadeoven.com/careers/,erro,HTTP Error 404: Not Found,
Armchair Productions,Sydney,Australia,https://www.armchairproductions.com.au/,sem-arte,"200, 64528 chars",
Big & Small Productions,Melbourne,Australia,https://www.bigandsmallproductions.com.au/jobs/,erro,HTTP Error 404: Not Found,
Big Ant Studios,Melbourne,Australia,https://www.bigant.com/jobs/,sem-arte,"200, 615 chars",
Big Cookie Studios,Newtown,Australia,http://www.bigcookiestudios.com/,erro,<urlopen error [Errno -2] Name or service not known>,
Binary Space,Perth,Australia,http://www.binaryspacegames.com/,erro,HTTP Error 403: Forbidden,
Binyan Studios,Brisbane,Australia,https://www.binyanstudios.com/what-we-do/,sem-arte,"200, 11054 chars",
Binyan Studios,Melbourne,Australia,https://www.binyanstudios.com/what-we-do/,sem-arte,"200, 11054 chars",
Binyan Studios,Sydney,Australia,https://www.binyanstudios.com/what-we-do/,sem-arte,"200, 11054 chars",
Bit Dragon,Melbourne,Australia,http://hyperjamgame.com/,erro,HTTP Error 403: Forbidden,
Biteable,Melbourne,Australia,https://biteable.com/,sem-arte,"200, 17638 chars",
Black Lab Games,Perth,Australia,http://www.blacklabgames.com.au/,erro,HTTP Error 403: Forbidden,
Black Matter,Sydney,Australia,https://www.blackmatterstudio.com/careers,sem-arte,"200, 10801 chars",
Blindside Interactive,Melbourne,Australia,https://blindsideinteractive.com/,erro,<urlopen error Tunnel connection failed: 502 Bad Gateway>,
Blockhead,Sydney,Australia,https://www.blockheadvfx.com/join-us/,sem-arte,"200, 2123 chars",
Blockhead,Auckland,New Zealand,https://www.blockheadvfx.com/join-us/,sem-arte,"200, 2123 chars",
Blowfish Studios,Sydney,Australia,https://www.blowfishstudios.com/jobs,erro,HTTP Error 404: Not Found,
Blue Bandicoot Studios,Blue Mountains,Australia,https://sites.google.com/bluebandicoot.com.au/web/jobs?authuser=0,sem-arte,"200, 2039 chars",
Bungarra Software,Perth,Australia,http://www.bungarra.com/careers/,erro,HTTP Error 403: Forbidden,
Buy Somewhere,Sydney,Australia,https://www.buysomewhere.com/,erro,<urlopen error Tunnel connection failed: 502 Bad Gateway>,
Cadre Pictures,Melbourne,Australia,https://www.cadrepictures.com.au/join,erro,HTTP Error 404: Not Found,
Cause and FX,Auckland,New Zealand,http://www.causefx.nz/,erro,HTTP Error 403: Forbidden,
CDW Animation,Adelaide,Australia,https://cdwanimation.com/,erro,<urlopen error Tunnel connection failed: 502 Bad Gateway>,
Chaos Theory Games,Sydney,Australia,https://www.chaostheorygames.com/jobs,sem-arte,"200, 1673 chars",
Chocolate Studios,Melbourne,Australia,https://www.chocolatestudios.com.au/,sem-arte,"200, 13501 chars",
Chronicle Studios,Sydney,Australia,https://www.chroniclestudios.com.au/,sem-arte,"200, 1098 chars",
Clockwork Films,Sydney,Australia,http://www.clockworkfilms.com.au/,erro,<urlopen error [Errno -2] Name or service not known>,
CONICAL,Auckland,New Zealand,https://www.conical.nz/conical-careers/,sem-arte,"200, 878 chars",
Cumulus VFX,Byron Bay,Australia,http://cumulusvfx.com/,erro,HTTP Error 403: Forbidden,
Curiious,Sydney,Australia,https://curiious.com/,erro,HTTP Error 404: Not Found,
Cutting Edge,Brisbane,Australia,http://www.cuttingedge.com.au/careers/,erro,HTTP Error 403: Forbidden,
Cutting Edge,Sydney,Australia,http://www.cuttingedge.com.au/careers/,erro,HTTP Error 403: Forbidden,
Deadleaf Games,Melbourne,Australia,http://www.deadleafgames.com/jobs/,erro,HTTP Error 403: Forbidden,
Deep Field,Dunedin,New Zealand,http://www.deepfield.games/jobs.html,erro,HTTP Error 403: Forbidden,
Defiant Development,Brisbane,Australia,http://defiantdev.com/,erro,HTTP Error 403: Forbidden,
Digital Confectioners,Christchurch,New Zealand,https://www.digitalconfectioners.com/careers/,ARTE,200,3d artist
Digital Lode,Melbourne,Australia,https://thelode.com.au/digital-lode-careers,js,"200, corpo de 328 chars",
Dinosaur Polo Club,Wellington,New Zealand,https://dinopoloclub.com/careers/,sem-arte,"200, 3339 chars",
Dirty Puppet,Melbourne,Australia,https://dirtypuppet.com/,sem-arte,"200, 2573 chars",
DOTDOT,Auckland,New Zealand,https://dotdot.studio/jobs/,js,"202, corpo de 1 chars",
DragonBear Studios,Melbourne,Australia,https://www.innchanted.com/,js,"200, corpo de 59 chars",
Dreamgate VFX,Canberra,Australia,http://dreamgatestudios.com/,erro,HTTP Error 403: Forbidden,
Dry Cactus,Paekakariki,New Zealand,http://polybridge.drycactus.com/,erro,HTTP Error 403: Forbidden,
Elastic,Melbourne,Australia,https://elasticgroup.com.au/,sem-arte,"200, 10465 chars",
Elastic,Sydney,Australia,https://elasticgroup.com.au/,sem-arte,"200, 10465 chars",
emergeWorlds,Brisbane,Australia,https://emergeworlds.com/,sem-arte,"200, 3312 chars",
Evaro,Sydney,Australia,https://www.evaro.co/careers/,sem-arte,"200, 698 chars",
Explanimate,Brisbane,Australia,https://www.explanimate.com.au/,sem-arte,"200, 27816 chars",
Eye Candy Animation,Canberra,Australia,http://www.eyecandyanimation.com/,erro,HTTP Error 403: Forbidden,
Fade In Studio,Brisbane,Australia,https://fadeinstudio.com/,sem-arte,"200, 7090 chars",
Fathom VFX,Auckland,New Zealand,https://fathomvfx.com/,sem-arte,"200, 455 chars",
