estudio,pais,site,estado_varredura,url_carreiras,vocabulario_encontrado
1047 Games,United States of America,https://www.splitgate.com/,sem-careers,https://www.splitgate.com/,
1336 Studios,United States of America,https://1336studios.com/,erro,,
1st Impact Games Limited,United Kingdom of Great Britain and Northern Ireland,https://www.1stimpactgames.com/,sem-arte,https://www.1stimpactgames.com/careers,
2weeks,United States of America,https://www.2weeks.games/,sem-arte,https://2weeks.ghost.io/jobs/,
5350 Studios inc.,Global,https://5350.ca,sem-careers,https://5350.ca,
"Work-from-home customer support in any language, any skill, anywhere",Netherlands,https://www.5ca.com/,js,https://careers.5ca.com/,
5th Planet Games,Germany,https://www.5thplanetgames.com/,sem-careers,https://www.5thplanetgames.com/,
7 Digital Labs,Switzerland,https://7digilabs.com/,sem-arte,https://7digilabs.com/careers,
8Bit- Games Industry Recruitment,Global,https://8bitplay.com/,ARTE,https://8bitplay.com/jobs/,3d artist
8Bit,Global,https://8bitplay.com/,ARTE,https://8bitplay.com/jobs/,3d artist
A Stranger Gravity,United States of America,http://astrangergravity.com,erro,,
A Thinking Ape Entertainment Ltd,Canada,https://athinkingape.com/careers/,sem-arte,https://athinkingape.com/careers/,
Abstraction,Netherlands,https://abstraction.games/,js,https://abstraction.games/jobs,
Abylight Studios,Spain,http://abylight.com/,erro,,
Acadicus,United States of America,https://acadicus.com/,sem-careers,https://acadicus.com/,
Acid Pixel Studios,France,https://www.acid-pixel.com/,sem-careers,https://acid-pixel.com/,
Acorn Games Advertising,United Kingdom of Great Britain and Northern Ireland,https://acorngames.gg/,sem-careers,https://acorngames.gg/,
Adept Games,United States of America,https://adept.games/,js,https://adept.games/careers,
AdHoc Studio,United States of America,https://www.adhocla.com/,sem-arte,https://careers.adhocla.com,
About Adopt Me,United States of America,https://playadopt.me/,ARTE,https://www.uplift.games/careers,3d artist
Adrian Crook & Associates,United States of America,https://adriancrook.com/,sem-careers,https://adriancrook.com/,
Adventure Studios,Singapore,http://www.adventurestudios.io,erro,,
Advenworks is all about,France,https://advenworks.com/,sem-arte,https://advenworks.com/careers/,
Afterburner Studios,Global,https://theafterburnerstudios.com,sem-arte,https://www.theafterburnerstudios.com/work-with-us/,
Afterschool Studio,United States of America,https://afterschool.studio/,sem-careers,https://afterschool.studio/,
Agave.com,United States of America,https://www.agave.com,sem-careers,https://oxley.com/domain/agave.com/,
Airlab,United Kingdom of Great Britain and Northern Ireland,https://airlab.ai/,sem-careers,https://www.airlab.ai/,
Akupara Games,United States of America,https://www.akuparagames.com/,erro,,
Alderon Games,Global,https://alderongames.com/,sem-arte,https://alderongames.com/work-with-us,
Alderon Games Pty Ltd,Australia,https://alderongames.com,sem-arte,https://alderongames.com/work-with-us,
All Possible Futures,United Kingdom of Great Britain and Northern Ireland,https://allpossiblefutures.com,sem-arte,https://allpossiblefutures.com/_nuxt/CommunityCareers.75c0e4a8.js,
Alpaca Metaverse,Canada,https://www.alpacafinance.org/,erro,,
Altplay Studio,Global,https://altplay.io,sem-careers,https://altplay.io,
AMC Studio,Romania,https://amcstudio.ro/,ARTE-home,https://www.amcstudio.ro/,groom
Amiqus,United Kingdom of Great Britain and Northern Ireland,https://www.amiqus.com/,sem-arte,https://www.amiqus.com/job-results#JobSearch,
Anagram,United Kingdom of Great Britain and Northern Ireland,https://weareanagram.co.uk/,sem-arte,https://weareanagram.co.uk/work-with-us/,
Anego Studios,Global,https://www.vintagestory.at/,sem-arte,https://www.vintagestory.at/jobs.html/,
AnRKey X,Singapore,https://anrkeyx.io/,sem-careers,https://anrkeyx.io/,
Antlion Audio,United States of America,https://antlionaudio.com,sem-careers,https://antlionaudio.com,
AppLovin,United States of America,https://www.applovin.com/,sem-arte,https://www.applovin.com/en/careers,
Arcadia,France,https://www.fitnesse.fr,erro,,
Arch Virtual,United States of America,http://www.acadicus.com,erro,,
Archiact Interactive Ltd,Canada,https://www.archiactvr.com/,sem-arte,https://www.archiact.com/careers,
Arctic Theory,Iceland,https://Arctictheory.com,erro,,
Ardent Blue Technologies,United States of America,http://ardentblue.com,erro,,
