data,estudio,email,draft_id,thread_id
2026-09-02,Digic Pictures,contact@digicpictures.com,r-6933744445209941766,1a03c39db1a7c438
2026-09-02,Airship Interactive,talent@airshipinteractive.com,r5384093821011984280,1a03c39f8fad95f3
2026-09-02,Puppetworks,info@puppetworks.eu,r2895215943525472313,1a03c3a15eb14d12
2026-09-02,Ember Lab,contact@emberlab.com,r6515141157270102470,1a03c3a4c1e7a0b0
2026-09-02,The Sequence Group,jobs@thesequencegroup.com,r4099927204723875876,1a03c3a76c816b97
2026-09-02,Steamroller Studios,contact@steamrollerstudios.com,r-7536124559716585184,1a03c3a935da023f
2026-09-02,Woodblock,work@woodblock.tv,r-5897066776979687706,1a03c3ab231bd08b
2026-09-02,Kevuru Games,career@kevurugames.com,r-919891499288198957,1a03c3acd19fc40a
2026-09-02,RetroStyle Games,job@retrostylegames.com,r7764776901392106133,1a03c3b15573dca6
2026-09-02,RocketBrush Studio,hr@rocketbrush.com,r4552526573343059363,1a03c3b2fe1d0aa1
2026-09-02,Art Bully Productions,contact@artbullyproductions.com,r-9049789742820550897,1a03c3b6a7388a8d
2026-09-02,10th Ave Productions,talent@10ave.com,r6121422388902990610,1a03c5379ad4e3a1
2026-09-02,Digital Dimension,info@digitaldimension.com,r-657008715887950002,1a03c539ac910e40
2026-09-02,Blue Spirit,contact.france@spirit-prod.com,r2677971631126727932,1a03c53e138e9065
2026-09-02,Able & Baker,contact@ableandbakerstudios.com,r-3494843608808683929,1a03c5427478d845
2026-09-02,Cyborn,jobs@cyborn.be,r369273347709468817,1a03c54af38791e7
2026-09-02,A. Film Production,info@afilm.dk,r5009233827597423716,1a03c5516d498bde
2026-09-02,Rainbow CGI,info@rbw-cgi.it,r-1712842534493598157,1a03c54f632fe714
2026-09-02,Amber,recruitment_ro@amberstudio.com,r1094180497079319752,1a03c61bc1c3c645
2026-09-02,Copernicus Studios,info@copernicus.ca,r-9098753258340721478,1a03c626c6c984e9
2026-09-02,Elliott Animation,info@elliottanimation.com,r-1215527901318732055,1a03c62b23f76091
2026-09-02,Flight School Studio,info@flightschoolstudio.com,r5681218783287522079,1a03c62d41969acd
2026-09-02,Flipbook Studio,jobs@flipbookstudio.co.uk,r5935475159961201244,1a03c62fae21dcd5
2026-09-02,Blow Studio,jobs@blowstudio.es,r900592128111963644,1a03c622612fd3d4
2026-09-02,Game-Ace,contact@game-ace.com,r229717306330080334,1a03c631fab94706
2026-09-02,GO-N Productions,contact@go-n.fr,r7081679925235869771,1a03c63404b3bfcc
2026-09-02,Goodbye Kansas Studios,hello@goodbyekansas.com,r514145400918639381,1a03c63646ef3e7c
2026-09-02,Hampa Studio,admin@hampastudio.com,r-4604857189470912480,1a03c63871780f9f
2026-09-02,Kavaleer Productions,jobs@kavaleer.com,r-466645717390820401,1a03c63a8142972c
2026-09-02,Moonmana,careers@moonmana.com,r8730773621966313368,1a03c63eeb127cca
2026-09-02,Piranha Bar,info@piranhabar.ie,r-5122291655852181818,1a03c643231cab68
2026-09-02,Studio AKA,hello@studioaka.co.uk,r-1011217210655702548,1a03c649dac20187
2026-09-02,Sun Creature,contact@suncreature.com,r-7052167323278551743,1a03c64bed561d6b
2026-09-02,TrailerFarm,info@thetrailerfarm.com,r-2930848084771383102,1a03c64e1944f860
2026-09-02,Unit Image,contact@unit-image.fr,r1629166710348102945,1a03c6504f41c1dd
2026-09-02,Waterproof Studios,info@waterproofstudios.com,r-4482746089927697637,1a03c652b5b96b1e
2026-09-02,Mathematic,contact@mathematicfilm.com,r-6893748826888453884,1a03c654da74cbc9
2026-09-02,iLogos Game Studios,bizdev@ilogos.biz,r8777166233415661011,1a03c656e9c1fe89
2026-09-02,Mighty Animation,info@mightyanimation.com,r-3642022336798516849,1a03e8c3f10be61c
2026-09-02,The Line,entertainment@thelinestudio.com,r6970891173476020894,1a03e8c6307f82a8
2026-09-02,Untold Studios,hello@untoldstudios.tv,r-1915059618171674464,1a03e8ba0f73e73c
2026-09-02,Juice,info@juice.pl,r7454803374087772403,1a03e8c877043bf8
2026-09-02,Platige Image,info@platige.com,r-4756191100860744232,1a03e8b79a19286f
2026-09-02,3Doubles Producciones,info@3doubles.com,r5546024833924071895,1a03dd6229a5bced
2026-09-02,Karrot Animation,hello@karrotanimation.com,r-3080264411176445362,1a03dd5fc6af7e92
2026-09-02,TeamTO,info@teamto.com,r7386101924253800760,1a03dd5d8feed403
2026-09-02,Flying Bark Productions,enquiries@flyingbark.com.au,r-4861262254916292346,1a03dd5b3b71ca2d
2026-09-02,Giant Animation,hello@giant.ie,r-1949328045569708585,1a03dd56a178b6da
2026-09-02,Jam Filled Entertainment,contact@jamfilled.com,r8164139124744506048,1a03efd6188e8de6
2026-09-02,House of Cool,info@houseofcool.com,r5336731912410359553,1a03efd867034546
2026-09-02,Atomic Cartoons,hr@atomiccartoons.com,r-7923809395877301532,1a03efdae7130619
2026-09-02,Omens Studios,careers@omens-studios.com,r7816927543751046066,1a03efdd981d3f97
2026-09-02,One Animation,info@oneanimation.com,r248852400760136192,1a03efdfefab02eb
2026-09-02,Anima Vitae,info@anima.fi,r-7282191638978748650,1a03efe246ce1df7
2026-09-02,Qvisten Animation,hedda.toftner@qvisten.no,r6287199226446990138,1a03efe4e8fc23ee
2026-09-02,Golden Wolf,hello@goldenwolf.tv,r-3665681050504005008,1a03fda25dfcf4e7
2026-09-02,Pipeline Studios,info@pipelinestudios.com,r-8100531582081977740,1a03fdb07451432c
2026-09-02,Creative Conspiracy,info@cc.be,r-5966663769787892612,1a03fda99351c20a
2026-09-02,Circus,contact@circus.fr,r5303890627609195073,1a03fda7a1636b80
2026-09-02,Tiny Island Productions,contact@tinyisland.net,r-5194414706525698730,1a03fda425e535d6
2026-09-02,Brown Bag Films,info@brownbagfilms.com,r-543399684463843373,1a040b64ad391de3
2026-09-02,Studio Isar Animation,info@isaranimation.com,r-8094856569596735192,1a040b664ffe8a9a
2026-09-02,Tonko House,info@tonkohouse.com,r1860335939295289071,1a040b68134da96b
2026-09-02,Chromosphere,info@chromosphere-la.com,r3571271241761494303,1a040b69c0b69a55
2026-09-02,HouseSpecial,hello@housespecial.com,r-5350345909241655699,1a040b6b65b9aa05
2026-09-02,Passion Pictures,reception@passion-pictures.com,r721863959551457145,1a0434b22411461c
2026-09-02,Lightbox Animation Studios,lightbox@lbox.es,r5440574454178960372,1a0434b044a2b3fd
