data,estudio,email,thread_id,draft_id,status
2026-09-07,Airborn Studios (reenvio),contact@airborn-studios.com,1a03c6131076c4e5,r-3408352642801063892,enviado na thread pelo Vini em 07/09
2026-09-07,Kickstart Entertainment (reenvio),info@kickstartent.com,1a03c61984a01344,r-6089175288129526165,enviado na thread pelo Vini em 07/09
2026-09-07,VSQUAD (reenvio),head@vsquad.art,1a03c6155856cd8d,r5859397455397011064,enviado na thread pelo Vini em 07/09
2026-09-07,Squeeze Animation Studios,info@squeezestudio.com,1a03dd58f738e2a8,r7473835075825529702,enviado na thread pelo Vini em 07/09
2026-09-07,Nexus Studios,jobs@nexusstudios.com,1a03e8bcab7b4370,r4674990710023492933,enviado na thread pelo Vini em 07/09
2026-09-07,Telescope Animation,apply@telescopeanimation.com,1a03c548d8fbe9a2,r4926086831991845400,enviado na thread pelo Vini em 07/09
2026-09-07,Ars Thanea,warsaw@arsthanea.com,1a046b760bf0ed92,r-4796281431892465301,enviado na thread pelo Vini em 07/09
2026-09-07,Cheeky Little Media,contact@cheekylittle.com.au,1a0450406f5a6cf7,r-1696374377645241491,enviado na thread pelo Vini em 07/09
2026-09-07,Dexter Studios,dexterstudios@dexterstudios.com,1a045dcc8f6f4eea,r103155027218755139,enviado na thread pelo Vini em 07/09
2026-09-07,Fabrique d'Images,c.parisse@fabrique-d-images.com,1a04504575ec959c,r2820778068220540880,enviado na thread pelo Vini em 07/09
2026-09-07,Gimpville,oslo@gimpville.no,1a046b7af112df9e,r-2065150977572104972,enviado na thread pelo Vini em 07/09
2026-09-07,IBRIDO Studio,info@ibridostudio.com,1a045dd17a47c61e,r787794974389791275,enviado na thread pelo Vini em 07/09
2026-09-07,Keos Masons,info@keosmasons.com,1a04792504b84adc,r6243615992468440896,enviado na thread pelo Vini em 07/09
2026-09-07,La Station Animation,franck@lastationanimation.com,1a045dc567675660,r380113225113327764,enviado na thread pelo Vini em 07/09
2026-09-07,Mac Guff,recrutement@macguff.fr,1a045dc773169586,r41952157867504812,enviado na thread pelo Vini em 07/09
2026-09-07,Maga Animation Studio,contact@maga-animation.com,1a04949338027233,r-5185944749214917421,enviado na thread pelo Vini em 07/09
2026-09-07,Moon Studios,jobs@moongamestudios.com,1a046b721e2f250e,r-5006153142926023064,enviado na thread pelo Vini em 07/09
2026-09-07,PFX,info@pfx.tv,1a04503b9fd476b2,r-812447033680340277,enviado na thread pelo Vini em 07/09
2026-09-07,QLOC,contact@q-loc.com,1a046b743b0c33fb,r-6286926961101436000,enviado na thread pelo Vini em 07/09
2026-09-07,Watch Next Media,contact@watchnextmedia.com,1a0486ddbedb76b8,r-6690020346389279730,enviado na thread pelo Vini em 07/09
2026-09-07,Illogic,info@illogic.xyz,1a04e6fbf592dd2c,r8376641636707734801,enviado na thread pelo Vini em 07/09
2026-09-07,Studio Rakete,jobs2026@studiorakete.de,1a050967a33485c7,r9144508840536416267,enviado na thread pelo Vini em 07/09
2026-09-07,Asterman,office@asterman.org,1a0599ab2e424eb8,r8346972387110810588,enviado na thread pelo Vini em 07/09
2026-09-07,Candlestick Games,laura@candlestickgames.ca,1a059a53e6fa5555,r4007022805938609763,enviado na thread pelo Vini em 07/09
2026-09-07,Crows Crows Crows,hello@crowscrowscrows.com,1a059113aad1510f,r-9169674895789224385,enviado na thread pelo Vini em 07/09
2026-09-07,BAPBAP Studios,yo@bapbap.gg,1a05ad99a43e4f7a,r-1724815441459732340,enviado na thread pelo Vini em 07/09
2026-09-07,Hologram Monster,info@hologram-monster.com,1a05b4e70477ab35,r-5831101767865501538,enviado na thread pelo Vini em 07/09
2026-09-07,Iron Oak Games,jobs@ironoakgames.com,1a05ad3c2c085ad7,r7063076195336174858,enviado na thread pelo Vini em 07/09
2026-09-07,Keyframe Digital Productions,info@keyframe.ca,1a05de8fc500170d,r6713667795974563281,enviado na thread pelo Vini em 07/09
2026-09-07,Klei Entertainment,jobs@kleientertainment.com,1a05dff1ed7cd920,r1294705468720571859,enviado na thread pelo Vini em 07/09
2026-09-07,Next Level Games,careers@nextlevelgames.com,1a05df72b2fcb68e,r-6019818280438620062,enviado na thread pelo Vini em 07/09
2026-09-07,Red Manta / Twin Atlas,contact@twinatlas.com,1a05ac5cede8f097,r9030983864158850997,enviado na thread pelo Vini em 07/09
2026-09-07,This Game Studio,info@thisgamestudio.com,1a05b4b39e165a3d,r3260868995050560593,enviado na thread pelo Vini em 07/09
2026-09-07,Wildseed Studios,jobs@wildseedstudios.com,1a05e00629f8c755,r-4103012248195360129,enviado na thread pelo Vini em 07/09
