fonte,estudio,pais,cidade,site,ja_na_campanha,tem_vaga_disciplina,url_da_vaga,veto_encontrado,observacao
tinyurl.com/mapOfStudios -> Google My Maps msid 113662601588408460998.00047bb475f51963d7c48,,,,https://tinyurl.com/mapOfStudios,,nao,,FONTE MORTA,"O tinyurl responde 301 para a URL do My Maps classico (www.google.com/maps/ms?msid=113662601588408460998.00047bb475f51963d7c48). O Google converte esse msid antigo para o mid novo 19reUmf7JAbj6w3BHokdlpQ1HcoA e devolve HTTP 404 em TODAS as portas: /maps/d/kml?mid=...&forcekml=1, /maps/d/viewer?mid=..., maps.google.com/maps/ms?...&output=kml e mapsengine.google.com/map/kml. Corpo do 404: ""<title>Error 404 (Not Found)!!1</title> ... The requested URL was not found on this server."" Zero estudios extraidos."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Blue Zoo Animation,England,London,,sim,sim,https://careers.blue-zoo.co.uk/vacancies/1310/blender-modeller--experienced.html,,"[viva] planilha: Modeler | data na planilha September 5, 2026. Blender Modeller - Experienced, Londres. Anuncio integral lido (6073 car.). Busca literal por authoriz/eligib/sponsor/work permit/must be based/LMIA/days a week/French/resident/visa/citizen/UK only: NENHUM. So o menu do site cita ""Brexit FAQs"". Modelagem de personagens, props e ambientes."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,DNEG,England,London,,sim,sim,https://jobs.jobvite.com/double-negative-visual-effects/job/ovLGAfwg,must be eligible to work in the UK without visa sponsorship + local to London + office 3x a week,"[viva] planilha: Modeler | data na planilha August 24, 2026; September 5, 2026. Character Modeller for VFX style Creatures. VETO ESCRITO em destaque no topo do anuncio."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,IGG Canada,Canada,Vancouver,,sim,sim,https://igg.bamboohr.com/careers/289,Legally eligible to work in Canada - we are unable to sponsor work permits,"[viva] planilha: Character Artist | data na planilha September 5, 2026. 3D Character Artist (Mobile Game), Vancouver, aberta em 05/09/2026, full-time, CAD 60-85k. Lida pela API JSON do BambooHR (/careers/289/detail) porque a pagina e renderizada em JS. VETO ESCRITO."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Folks VFX,Canada,Montreal,,nao,sim,https://www.linkedin.com/feed/update/urn:li:activity:7501380289416294400/,,"[viva] planilha: Groom Artist | data na planilha September 5, 2026. Post de LinkedIn de recrutador (Michael Jalbert): Senior Groom Artist, freelance de 3 semanas, inicio imediato. Nao ha URL de requisicao, so o post. Contrato curtissimo."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Image Engine,Canada,Vancouver,,sim,sim,https://imageengine.bamboohr.com/careers/183,Candidates are required to be based in British Columbia and eligible to work in Canada,"[viva] planilha: Texture/Look Development Artist | data na planilha September 4, 2026. Texture & Look Development Artist - Mid (Short-Term), Vancouver, publicada 28/05/2026, contrato a termo. Lida pela API JSON do BambooHR. VETO ESCRITO."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,TAT Productions,France,Toulouse,,sim,sim,https://jobs.tatprod.com/fr/offres/lead-character-modeling--blendshape-3d-e13168,,"[viva] planilha: Modeler | data na planilha September 3, 2026. Lead Character Modeling & Blendshape 3D F/H, CDD 12 meses, Toulouse. O ATS pergunta ""Autorisation de travail en France: J ai besoin d un visa"" - e PERGUNTA de formulario, nao veto. Mobilidade oferece presencial, hibrido 4 dias/mes ou 100% teletrabalho."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,ILM - Sydney,Australia,Sydney,,nao,sim,https://www.disneycareers.com/en/job/moore-park/senior-modeler/391/100108246096,,"[viva] planilha: Modeler | data na planilha September 3, 2026. Senior Modeler, ILM Sydney (Disney Careers). ESTUDIO NOVO PARA A CAMPANHA. Anuncio integral (27474 car.): nenhum veto de autorizacao. Unica condicao escrita: hibrido, minimo 2 dias por semana no escritorio. Pede showreel/ArtStation."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Brown Bag Films,Canada,Toronto,,sim,sim,https://milo-hr.my.salesforce-sites.com/recruit/fRecruit__ApplyJob?vacancyNo=VN1902&portal=Toronto,legally eligible to work in Canada and have Ontario residency,"[viva] planilha: Modeler | data na planilha September 2, 2026. Character Modeler, Brown Bag Films / 9 Story, Toronto. VETO ESCRITO de residencia em Ontario."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,DNEG,England,London,,sim,sim,https://jobs.jobvite.com/double-negative-visual-effects/job/oQKJAfwD,,"[viva] planilha: Groom TD | data na planilha September 2, 2026. Groom TD (DNEG ANIM), Londres, Hybrid Remote. Anuncio integral (3131 car.): busca literal por authoriz/eligib/sponsor/work permit/must be based/LMIA/days a week/French/resident/visa/citizen NAO retornou NADA. Contraste util: a vaga irma da DNEG Londres (Character Modeller) traz o veto no topo, esta NAO."
