ats,token,titulo,local,url,data
ashby,thatgamecompany,3D Character Artist (Mid-Senior),Remote - US,https://jobs.ashbyhq.com/thatgamecompany/36e101a4-c7ba-4884-8999-cd04abb979ee,2026-09-02T17:24:53.396+00:00
bamboohr,barnstormvfx,Artiste principal(e) de créatures - Lead Creature Artist - QC,"Montreal, Quebec",https://barnstormvfx.bamboohr.com/careers/176,
bamboohr,igg,3D Character Artist (Mobile Game),"Vancouver, British Columbia",https://igg.bamboohr.com/careers/289,
bamboohr,imageengine,General Application - Assets (Modeling/Texturing/LookDev/Grooming),"Vancouver, British Columbia",https://imageengine.bamboohr.com/careers/21,
bamboohr,owi,3D Character Artist,"New Westminster, British Columbia",https://owi.bamboohr.com/careers/199,
bamboohr,stirlinganimationstudios,Character Modeling and Surfacing Artists,,https://stirlinganimationstudios.bamboohr.com/careers/77,
bamboohr,stirlinganimationstudios,Character Surfacing Artists,,https://stirlinganimationstudios.bamboohr.com/careers/79,
bamboohr,stirlinganimationstudios,Character & Prop Riggers,,https://stirlinganimationstudios.bamboohr.com/careers/84,
bamboohr,streamlinestudios,Lead Character Artist,,https://streamlinestudios.bamboohr.com/careers/84,
bamboohr,streamlinestudios,3D Character Artist,,https://streamlinestudios.bamboohr.com/careers/106,
breezy,agbo,Expression of Interest - Character Artist,"Los Angeles, CA",https://agbo.breezy.hr/p/49a139476416-expression-of-interest-character-artist,2026-06-11T00:22:32.876Z
breezy,agbo,Senior Character Texture Artist,"Raleigh, NC",https://agbo.breezy.hr/p/cdc4c6df4fd8-senior-character-texture-artist,2026-09-01T15:08:26.936Z
greenhouse,2k,Lead Character Artist,"Montréal, Quebec, Canada",https://job-boards.greenhouse.io/2k/jobs/7888173003,2026-08-19T15:20:00-04:00
greenhouse,2k,Lead Character Artist,"Novato, California, United States",https://job-boards.greenhouse.io/2k/jobs/7888174003,2026-08-19T15:20:01-04:00
greenhouse,2k,Senior Character Artist,"Burnaby, British Columbia, Canada",https://job-boards.greenhouse.io/2k/jobs/7835808003,2026-08-10T10:46:40-04:00
greenhouse,bluehole,[Bluehole Studio] 3D Character Artists (Lead / Senior) - Project V,Pangyo,https://job-boards.greenhouse.io/bluehole/jobs/8517790002,2026-04-23T01:33:55-04:00
greenhouse,bluehole,[Bluehole Studio] 리드 캐릭터 아티스트 (Lead Character Artist) - TERA2,Pangyo,https://job-boards.greenhouse.io/bluehole/jobs/8520212002,2026-04-23T02:02:21-04:00
greenhouse,cloudchamberen,Lead Character Artist,"Novato, California, United States",https://job-boards.greenhouse.io/cloudchamberen/jobs/7888172003,2026-08-19T15:19:59-04:00
greenhouse,cloudchamberen,Lead Character Artist,"Montréal, Quebec, Canada",https://job-boards.greenhouse.io/cloudchamberen/jobs/7888170003,2026-08-19T15:19:58-04:00
greenhouse,hasbro,Lead Character Artist,Canada,https://job-boards.greenhouse.io/hasbro/jobs/4318250009,2026-07-20T14:06:02-04:00
greenhouse,loonshotgames,[Loonshot Games] 3D Character Artist - Project AA (3년 이상),Seoul,https://job-boards.greenhouse.io/loonshotgames/jobs/8725151002,2026-08-18T02:52:05-04:00
greenhouse,loonshotgames,[Loonshot Games] Pixel Artist (Character) - Project Camp (5년 이상),Seoul,https://job-boards.greenhouse.io/loonshotgames/jobs/8759149002,2026-08-28T05:51:56-04:00
greenhouse,mobentertainment,Senior Character Artist,United States,https://job-boards.greenhouse.io/mobentertainment/jobs/5207518007,2026-08-13T14:16:59-04:00
greenhouse,sonypicturesimageworks,Character FX Artist ,"Vancouver, British Columbia, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/4363707003,2021-12-03T17:32:28-05:00
greenhouse,sonypicturesimageworks,Experienced Character FX Artist ,"Vancouver, British Columbia, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/4363708003,2021-12-03T17:31:40-05:00
greenhouse,wargamingen,3D Character Artist (World of Tanks:HEAT),Nicosia,https://job-boards.greenhouse.io/wargamingen/jobs/8161671,2026-08-31T03:12:06-04:00
lever,avalanchestudios,Lead Character Artist,Stockholm,https://jobs.lever.co/avalanchestudios/8f7bd580-5877-446e-83cb-97bb1fce0f6a,1779371180711
lever,bhvr,Senior 3D  Character Artist - 7 Days to Die | Artiste de personnages 3D  sénior·e - 7 Days to Die,"Montreal, QC",https://jobs.lever.co/bhvr/976b2a8c-9cb4-4066-a755-d0994af408c2,1787679866157
lever,bhvr,Senior 3D Character Artist - Dead By Daylight | Artiste de personnage sénior·e 3D  Dead By Daylight,"Montreal, QC",https://jobs.lever.co/bhvr/18024240-e637-409f-a647-b422541e2dc7,1782399284396
lever,bhvr,Senior 3D Character Artist - Unannounced project | Artiste de personnage 3D sénior·e - Projet non annoncé,"Montreal, QC",https://jobs.lever.co/bhvr/86ddd557-7d9b-48f1-ab04-0a90ba38e2dc,1784315035728
lever,larian,Character Artist – Open Application | Artiste spécialiste des personnages - candidature libre,Any,https://jobs.lever.co/larian/64e1e658-7c7a-4c7f-b950-f997d40a9d8e,1747304309683
lever,skydance,Senior Grooming TD,Madrid,https://jobs.lever.co/skydance/9ad28cab-87cd-4235-ae9b-b4c53a3457e5,1786447521555
recruitee,framestore,Senior Creature FX TD,"Melbourne, Victoria, Australia",https://framestore.recruitee.com/o/senior-creature-fx-td-4,2026-09-01 00:34:38 UTC
recruitee,framestore,Creature FX TD (Freelancer),Remote job,https://framestore.recruitee.com/o/creature-fx-td-freelancer,2026-08-18 06:47:20 UTC
recruitee,framestore,Creature FX Technical Director,"Montreal, Quebec, Canada",https://framestore.recruitee.com/o/directeurrice-technique-des-creatures-numeriques-creature-fx-td-2026,2026-07-30 15:10:01 UTC
recruitee,framestore,Creature FX TD,"London, Greater London, United Kingdom",https://framestore.recruitee.com/o/creature-fx-td-film-episodic,2026-03-31 13:41:00 UTC
smartrecruiters,keywordsstudios,Senior Character Artist Vic/SA/Qld,"Box Hill, au",https://jobs.smartrecruiters.com/keywordsstudios/744000130680219,2026-06-08T00:42:06.064Z
smartrecruiters,mattelinc,American Girl New York - Experience Associate (doll hair stylist/permanent),"New York, us",https://jobs.smartrecruiters.com/mattelinc/744000148529029,2026-09-09T14:41:45.111Z
smartrecruiters,mattelinc,American Girl Franklin Location- Doll Hair Stylist- Seasonal,"Franklin, us",https://jobs.smartrecruiters.com/mattelinc/744000147644269,2026-09-05T15:10:21.649Z
smartrecruiters,mattelinc,American Girl NYC -Experience Associate (Seasonal Doll Hair Stylist),"New York, us",https://jobs.smartrecruiters.com/mattelinc/744000147597999,2026-09-04T20:00:50.815Z
smartrecruiters,mattelinc,American Girl Hair Salon Stylist (Licensed Cosmetologist/Seasonal),"Chicago, us",https://jobs.smartrecruiters.com/mattelinc/744000141994614,2026-08-06T19:57:10.591Z
smartrecruiters,mattelinc,American Girl Experience Associate (Doll Hair Stylist),"Dallas, us",https://jobs.smartrecruiters.com/mattelinc/744000140477149,2026-07-29T14:06:18.805Z
smartrecruiters,mattelinc,American Girl Hair Salon Stylist (Licensed Cosmotologist/ Part-Time),"New York, us",https://jobs.smartrecruiters.com/mattelinc/744000140466501,2026-07-29T13:36:34.130Z
smartrecruiters,nbcuniversal3,DreamWorks Feature - Character Effects Artist,"Glendale, us",https://jobs.smartrecruiters.com/nbcuniversal3/744000145325278,2026-08-24T16:36:55.706Z
smartrecruiters,nbcuniversal3,"Lead Character Artist (Body/Crowd, Face, Hair & Wardrobe) / Chef.fe d’équipe Artiste Personnage (Tête, Corps & Foule, Cheveux & Vêtements)","Montréal, ca",https://jobs.smartrecruiters.com/nbcuniversal3/744000137526729,2026-07-13T19:12:38.749Z
smartrecruiters,nbcuniversal3,"Lead Material Artist (Character/Wardrobe, World/Props) / (Personnage/Garde-robe, Monde/Accessoires)","Montréal, ca",https://jobs.smartrecruiters.com/nbcuniversal3/744000137526669,2026-07-13T19:12:25.896Z
smartrecruiters,nbcuniversal3,"Associate Art Director (Characters, Concepts, Lighting & VFX, World) / Directeur·rice Artistique Associé·e (Personnages | Monde | Concepts | Éclairage et VFX)","Montréal, ca",https://jobs.smartrecruiters.com/nbcuniversal3/744000133659271,2026-06-23T17:07:05.412Z
smartrecruiters,peoplecanfly,Artiste de personnage principal(e) / Principal Character Artist,"Montréal, ca",https://jobs.smartrecruiters.com/peoplecanfly/744000134528029,2026-06-26T17:32:57.369Z
smartrecruiters,techlandsa,Character Artist,"Wrocław, pl",https://jobs.smartrecruiters.com/techlandsa/744000145235194,2026-08-24T09:48:51.080Z
smartrecruiters,techlandsa,Character Artist,"Warszawa, pl",https://jobs.smartrecruiters.com/techlandsa/744000137670539,2026-07-14T13:39:01.620Z
smartrecruiters,ubisoft2,Senior Character Artist (Rainbow Six Siege),"Montreal, ca",https://jobs.smartrecruiters.com/ubisoft2/744000145282762,2026-08-24T13:44:43.257Z
smartrecruiters,ubisoft2,Lead Character Artist [Tom Clancy's The Division 2],"Malmö, se",https://jobs.smartrecruiters.com/ubisoft2/744000144027102,2026-08-18T09:45:10.813Z
smartrecruiters,ubisoft2,Team lead Character (F/H/NB),"Montpellier, fr",https://jobs.smartrecruiters.com/ubisoft2/744000121716487,2026-04-20T08:51:14.506Z
smartrecruiters,ubisoft2,Team lead Character (F/H/NB),"Montpellier, fr",https://jobs.smartrecruiters.com/ubisoft2/744000121716326,2026-04-20T08:50:37.910Z
