nome,pais,token,familia,url,vagas
Larian Studios,Belgium,larian,lever,https://jobs.lever.co/larian,67
BackGames,,sites,smartrecruiters,https://jobs.smartrecruiters.com/sites,63
Sand Door Studio,France,linkedin,greenhouse,https://job-boards.greenhouse.io/linkedin,53
Reply Game Studios,Italy,reply,lever,https://jobs.lever.co/reply,50
Behaviour Rotterdam,Netherlands,bhvr,lever,https://jobs.lever.co/bhvr,34
True Software Scandinavia,Sweden,truecaller,greenhouse,https://job-boards.greenhouse.io/truecaller,33
Skydance Animation,United States,skydance,lever,https://jobs.lever.co/skydance,28
Headfirst Productions,United Kingdom,headfirst,recruitee,https://headfirst.recruitee.com/,26
Sand Door Studio,France,linkedin,lever,https://jobs.lever.co/linkedin,23
Uplift Games,,uplift,greenhouse,https://job-boards.greenhouse.io/uplift,22
ArenaNet,United States,arena,ashby,https://jobs.ashbyhq.com/arena,20
Interplay Entertainment,United States,interplay,ashby,https://jobs.ashbyhq.com/interplay,18
NEXON Korea,South Korea,company,ashby,https://jobs.ashbyhq.com/company,15
Ritual Entertainment,United States,ritual,greenhouse,https://job-boards.greenhouse.io/ritual,15
Origin Systems,United States,origin,bamboohr,https://origin.bamboohr.com/careers,13
Presto Studios,United States,presto,teamtailor,https://presto.teamtailor.com/jobs,13
Ankama Games,France,ankama,teamtailor,https://ankama.teamtailor.com/jobs,12
Avalanche Studios Group,Sweden,avalanchestudios,lever,https://jobs.lever.co/avalanchestudios,12
DrPinkCake,,patreon,ashby,https://jobs.ashbyhq.com/patreon,11
Torn Banner Studios,Canada,tornbanner,bamboohr,https://tornbanner.bamboohr.com/careers,8
Krea Medie,Denmark,egmont,teamtailor,https://egmont.teamtailor.com/jobs,7
Lift London,,lift,greenhouse,https://job-boards.greenhouse.io/lift,7
Chromatic Games,United States,chromatic,ashby,https://jobs.ashbyhq.com/chromatic,6
CI Games S.A.,Poland,cigames,teamtailor,https://cigames.teamtailor.com/jobs,6
Hook Games,,hook,greenhouse,https://job-boards.greenhouse.io/hook,6
Insomniac Games,United States,insomniac,greenhouse,https://job-boards.greenhouse.io/insomniac,6
Limbic Software,United States,limbic,ashby,https://jobs.ashbyhq.com/limbic,6
Cardboard Computer,United States,cardboard,ashby,https://jobs.ashbyhq.com/cardboard,5
Nowcom,,corp,greenhouse,https://job-boards.greenhouse.io/corp,5
Deck13 Interactive,Germany,deck13,personio,https://deck13.jobs.personio.com/,5
Bloodhouse,Finland,housemarque,greenhouse,https://job-boards.greenhouse.io/housemarque,5
nWave Pictures,Belgium,nwave,bamboohr,https://nwave.bamboohr.com/careers,5
Bluemoon Interactive,Estonia,bluemoon,bamboohr,https://bluemoon.bamboohr.com/careers,4
Daybreak Game Company,United States,daybreakgames,greenhouse,https://job-boards.greenhouse.io/daybreakgames,4
Hook Games,,hook,ashby,https://jobs.ashbyhq.com/hook,4
Sand Door Studio,France,linkedin,bamboohr,https://linkedin.bamboohr.com/careers,4
A44,New Zealand,a44games,smartrecruiters,https://jobs.smartrecruiters.com/a44games,3
Unknown Worlds Entertainment,United States,unknownworlds,greenhouse,https://job-boards.greenhouse.io/unknownworlds,3
Westwood Studios,United States,westwood,personio,https://westwood.jobs.personio.com/,3
Amazing Studio,France,amazing,bamboohr,https://amazing.bamboohr.com/careers,2
Bethesda Softworks,United States,bethesda,greenhouse,https://job-boards.greenhouse.io/bethesda,2
Cyan Worlds,United States,cyan,personio,https://cyan.jobs.personio.com/,2
Black Rock Studio,United Kingdom,disney,greenhouse,https://job-boards.greenhouse.io/disney,2
Exient Entertainment,United Kingdom,exient,bamboohr,https://exient.bamboohr.com/careers,2
Gravity Corporation,South Korea,gravity,greenhouse,https://job-boards.greenhouse.io/gravity,2
Starbreeze Studios,Sweden,starbreeze,teamtailor,https://starbreeze.teamtailor.com/jobs,2
Valiant Game Studio,Sweden,valiant,bamboohr,https://valiant.bamboohr.com/careers,2
Bigpoint GmbH,Germany,bigpoint,personio,https://bigpoint.jobs.personio.com/,1
Cat Daddy Games,United States,catdaddy,greenhouse,https://job-boards.greenhouse.io/catdaddy,1
Black Lab Games,Australia,blacklab,smartrecruiters,https://jobs.smartrecruiters.com/blacklab,1
Playdots,United States,dots,greenhouse,https://job-boards.greenhouse.io/dots,1
Firaxis Games,United States,firaxis,greenhouse,https://job-boards.greenhouse.io/firaxis,1
