ats,token,status,n_vagas,conferido
ashby,hyperhug,OK,16,SIM
ashby,prodigy-education,OK,0,SIM
ashby,redlygames,OK,3,SIM
ashby,voldex,OK,3,SIM
bamboohr,archiactinteractive,CONTA-ENCERRADA(302 p/ bamboohr.com),,SIM
bamboohr,budge,OK,4,SIM
bamboohr,compulsiongames,OK,0,SIM
bamboohr,darkslope,OK,0,SIM
bamboohr,felixandpaul,OK,0,SIM
bamboohr,flyingbark,OK,11,SIM
bamboohr,gamemodeone,OK,3,SIM
bamboohr,gasketgames,OK,0,SIM
bamboohr,hashbane,CONTA-ENCERRADA(302),,SIM
bamboohr,houseofcool,CONTA-ENCERRADA(302),,SIM
bamboohr,hyperhippo,CONTA-ENCERRADA(302),,SIM
bamboohr,lbcstudiosca,OK,0,SIM
bamboohr,onemanstudio,OK,0,SIM
bamboohr,redbarrels,OK,1,SIM
bamboohr,snowball,CONTA-ENCERRADA(302),,SIM
bamboohr,triotech,OK,3,SIM
bamboohr,wgames,CONTA-ENCERRADA(302),,SIM
greenhouse,absurdventures,OK,17,SIM
greenhouse,blurstudio,OK,0,SIM
greenhouse,eleventhhourgames,OK,6,SIM
greenhouse,epicgames,OK,154,SIM
greenhouse,firesprite,OK,1,SIM
greenhouse,gearbox,OK,1,SIM
greenhouse,gravitywell,OK,0,SIM
greenhouse,havenenglish,OK,2,SIM
greenhouse,hbstudios,OK,0,SIM
greenhouse,housemarque,OK,3,SIM
greenhouse,insomniac,OK,6,SIM
greenhouse,monomipark,OK,0,SIM
greenhouse,naughtydog,OK,13,SIM
greenhouse,phoenixlabsyvren,HTTP-404,,SIM
greenhouse,riotgames,OK,151,SIM
greenhouse,sphereentertainment,OK,30,SIM
greenhouse,studiokraftonboard,OK,1,SIM
greenhouse,supernaturalstudios,HTTP-404,,SIM
greenhouse,tactilegames,OK,4,SIM
greenhouse,teamlfg,OK,10,SIM
greenhouse,wbpa,OK,1,SIM
lever,illumination,OK,0,SIM
lever,kickstart-ent,HTTP-404,,SIM
lever,kolibrigames,OK,4,SIM
lever,minogames,HTTP-404,,SIM
lever,reli-sh,HTTP-404,,SIM
lever,searchlocations,HTTP-404,,SIM
lever,vrchat,OK,13,SIM
lever,wildlight,OK,0,SIM
personio,aesir,OK,14,SIM
personio,bongfish,OK,1,SIM
personio,boxelware,OK,3,SIM
personio,chimera-entertainment,HTTP-404,,SIM
personio,deck13,OK,5,SIM
personio,king-art-gmbh,OK,2,SIM
personio,lightbox-animation-studios,HTTP-404,,SIM
personio,parasol-island,HTTP-404,,SIM
personio,stratosphere-games,OK,2,SIM
personio,trixter,HTTP-404,,SIM
personio,welevel,HTTP-404,,SIM
personio,weltenbauer-software-entwicklung-gmbh,OK,11,SIM
pinpoint,brazenanimation,OK,0,SIM
pinpoint,fenriscreations,OK,5,SIM
pinpoint,flixinteractive,OK,0,SIM
pinpoint,framestore,OK,3,SIM
pinpoint,gameplaygalaxy,OK,0,SIM
pinpoint,hyperhippo,OK,0,SIM
pinpoint,ingenuitystudios,OK,0,SIM
pinpoint,magnopus,OK,3,SIM
pinpoint,maverick-games,OK,1,SIM
pinpoint,naodeveexistirxyz123,HTTP-404,,SIM
pinpoint,outpost-vfx,OK,0,SIM
pinpoint,pipeworks,OK,5,SIM
pinpoint,playground-games,OK,0,SIM
pinpoint,rocksteady,OK,5,SIM
pinpoint,singularity6,OK,0,SIM
pinpoint,tripledotstudios,OK,0,SIM
pinpoint,trust,NAO-JSON,,NAO
pinpoint,ttkgames,OK,14,SIM
pinpoint,wushustudios,OK,0,SIM
recruitee,11bitstudios,OK,5,SIM
recruitee,adam,OK,73,SIM
recruitee,alex,OK,5,SIM
recruitee,angels,OK,0,SIM
recruitee,anyone,OK,2,SIM
recruitee,assembly,OK,4,SIM
recruitee,blank,OK,10,SIM
recruitee,blooberteam,OK,4,SIM
recruitee,bloom,OK,3,SIM
recruitee,brain,OK,5,SIM
recruitee,bright,OK,9,SIM
recruitee,brink,OK,0,SIM
recruitee,careers-analytics,HTTP-403,,NAO
recruitee,chaos,OK,14,SIM
recruitee,chimpworks,OK,0,SIM
recruitee,cipsoft,OK,2,SIM
recruitee,circuit,OK,0,SIM
recruitee,clarity,OK,2,SIM
recruitee,classy,OK,6,SIM
recruitee,clever,OK,3,SIM
recruitee,cloudfire,OK,13,SIM
recruitee,cold,OK,1,SIM
recruitee,company3,OK,1,SIM
recruitee,daredevils,OK,1,SIM
recruitee,eleven,OK,1,SIM
recruitee,ember,OK,26,SIM
recruitee,emergo,OK,6,SIM
recruitee,escape,OK,25,SIM
recruitee,focusentertainment,OK,8,SIM
recruitee,fourth,OK,1,SIM
recruitee,grip,OK,3,SIM
