# QUADROS DE ATS ACHADOS EM 10/09 QUE NAO ESTAVAM NO censo-boards-0809.csv.
# Metodo: abrir /careers, /jobs e / de cada dominio de estudio ja colhido (gamedevmap, remotegamejobs,
# cgstudiomap) e procurar a impressao digital de ATS com API publica. 6.260 dominios na lista,
# 4.500 sondados (a cauda ficou para a proxima rodada), 85 quadros novos.
# JA VARRIDOS por disciplina em 10/09: 237 vagas lidas, 2 acertos, os DOIS descartados com motivo
# escrito (Asobo, veto de frances no anuncio; weltenbauer, tech artist de animacao e exige alemao).
# Vale revarrer daqui a alguns dias: o quadro e o mesmo, as vagas mudam.
ats,token,dominio
ashby,colonist,colonist.io
ashby,latitude,latitude.io
ashby,voldex,voldex.com
bamboohr,bitwisealchemy,www.bitwisealchemy.com
bamboohr,darkslope,www.darkslopestudios.com
bamboohr,filamentgames,www.filamentgames.com
bamboohr,flyingbark,www.flyingbark.com.au
bamboohr,gurustudio,gurustudio.com
bamboohr,iommediaventures,www.iom-media.com
bamboohr,laigames,laigames.com
bamboohr,laigames,www.laigames.com
bamboohr,mercuryfilmworks,mercuryfilmworks.com
bamboohr,pixeltoysltd,pixeltoys.com
bamboohr,void,voidinteractive.net
bamboohr,wgames,wgames.com
breezy,assets-cdn,careers.gamebreaking.com
breezy,assets-cdn,www.gamebreaking.com
breezy,cubit-studios,www.cubitstudios.com
breezy,cvedia,www.cvedia.com
breezy,deca-games,decagames.com
breezy,gallery-cdn,careers.gamebreaking.com
breezy,gallery-cdn,www.gamebreaking.com
breezy,gamebreaking-studios-inc,careers.gamebreaking.com
breezy,gamebreaking-studios-inc,www.gamebreaking.com
breezy,lucky-logic,www.getluckyvr.com
greenhouse,31stunion,thirtyfirstunion.com
greenhouse,athinkingape,athinkingape.com
greenhouse,azragames,azragames.com
greenhouse,azragamesoa,azragames.com
greenhouse,coatsink,coatsink.com
greenhouse,coatsink,www.coatsink.com
greenhouse,eleventhhourgames,eleventhhour.games
greenhouse,firesprite,careers.playstation.com
greenhouse,haven,careers.playstation.com
greenhouse,havenenglish,careers.playstation.com
greenhouse,housemarque,www.housemarque.com
greenhouse,naughtydog,careers.playstation.com
greenhouse,pdi,careers.playstation.com
greenhouse,sggcareers,smallgiantgames.com
greenhouse,siei,careers.playstation.com
lever,asobostudio,asobostudio.com
lever,immutable,www.immutable.com
lever,magnopus,magnopus.com
lever,magnopus,www.magnopus.com
lever,ramenvr,ramenvr.com
lever,sandboxvr,sandboxvr.com
lever,titmouse,titmouse.net
personio,aesir,aesir-interactive.com
personio,bongfish,bongfish.com
personio,btf-gmbh,btf.de
personio,deck13,www.deck13.com
personio,envision-entertainment,www.envision-entertainment.de
personio,king-art-gmbh,kingart-games.com
personio,weltenbauer-software-entwicklung-gmbh,weltenbauer-se.com
pinpoint,gameplaygalaxy,www.gameplaygalaxy.com
recruitee,careers-analytics,career.tensquaregames.com
recruitee,careers-analytics,www.cipsoft.com
recruitee,crazygames,crazygames.com
recruitee,focushomeinteractive,www.focus-entmt.com
recruitee,landing,jobs.chimpworksgames.com
recruitee,landing,www.megaparticle.com
recruitee,tagging-server,jobs.chimpworksgames.com
recruitee,tagging-server,www.megaparticle.com
smartrecruiters,DONTNOD,dont-nod.com
teamtailor,bespokepixel,bespokepixel.studio
teamtailor,creepyjar,creepyjar.com
teamtailor,forthstar,forthstar.com
teamtailor,kavalrigames,www.kavalrigames.com
teamtailor,madbox,madbox.io
teamtailor,paradox-interactive,career.paradoxplaza.com
teamtailor,parkerschauffeurs,careers.lastarrowgames.com
teamtailor,rawpowergames-1700833558,rawpowergames.com
teamtailor,redroverinteractive,careers.redroverinteractive.com
teamtailor,tt,careers.lastarrowgames.com
workable,8i,8i.com
workable,arkadium-1,www.arkadium.com
workable,big-viking-games-3,www.bigvikinggames.com
workable,cause-and-fx-ltd,www.causeandfx.nz
workable,homa-games,homagames.com
workable,nexusstudios,nexusstudios.com
workable,secret-6,secret6.com
workable,skrice,skrice.com
workable,sperasoft,sperasoft.com
workable,square-enix-america,eu.square-enix.com
workable,team-17-digital,everplaygroupplc.com
