nome,pais,token,familia,url,vagas
Voodoo,France,voodoo,ashby,https://jobs.ashbyhq.com/voodoo,107
Amanotes,Singapore,amanotes,lever,https://jobs.lever.co/amanotes,43
NetEase Games,,neteasegames,greenhouse,https://job-boards.greenhouse.io/neteasegames,27
Podimo,,podimo,teamtailor,https://podimo.teamtailor.com/jobs,20
Full Circle,Canada,fullcircle,bamboohr,https://fullcircle.bamboohr.com/careers,15
"Atari, Inc.",United States,atariinc,greenhouse,https://job-boards.greenhouse.io/atariinc,12
Nordeus,Serbia,nordeus,greenhouse,https://job-boards.greenhouse.io/nordeus,9
The Logic Factory,United States,thelogicfactory,personio,https://thelogicfactory.jobs.personio.com/,9
Focus Home Interactive,France,focushomeinteractive,recruitee,https://focushomeinteractive.recruitee.com/,8
BreakFirst,France,breakfirst,personio,https://breakfirst.jobs.personio.com/,6
Smule,United States,smule,bamboohr,https://smule.bamboohr.com/careers,6
Jellyvision,United States,jellyvision,greenhouse,https://job-boards.greenhouse.io/jellyvision,5
Studio Wildcard,,studiowildcard,bamboohr,https://studiowildcard.bamboohr.com/careers,5
MobilityWare,United States,mobilityware,greenhouse,https://job-boards.greenhouse.io/mobilityware,4
Novalink,,novalink,bamboohr,https://novalink.bamboohr.com/careers,4
Panic Button,United States,panicbutton,greenhouse,https://job-boards.greenhouse.io/panicbutton,4
CRAFTWORK,,craftwork,personio,https://craftwork.jobs.personio.com/,3
Don’t Nod,France,dontnod,smartrecruiters,https://jobs.smartrecruiters.com/dontnod,3
Encore,United States,encore,greenhouse,https://job-boards.greenhouse.io/encore,3
FuturLab,,futurlab,personio,https://futurlab.jobs.personio.com/,3
House of Tales,Germany,houseoftales,personio,https://houseoftales.jobs.personio.com/,3
Springloaded,Singapore,springloaded,bamboohr,https://springloaded.bamboohr.com/careers,3
Blazing Griffin,United Kingdom,blazinggriffin,bamboohr,https://blazinggriffin.bamboohr.com/careers,2
Equilibrium,United States,equilibrium,teamtailor,https://equilibrium.teamtailor.com/jobs,2
Gamepires,,gamepires,smartrecruiters,https://jobs.smartrecruiters.com/gamepires,2
Gears for Breakfast,Denmark,gearsforbreakfast,bamboohr,https://gearsforbreakfast.bamboohr.com/careers,2
LAI Games,Australia,laigames,bamboohr,https://laigames.bamboohr.com/careers,2
Peaksel,,peaksel,bamboohr,https://peaksel.bamboohr.com/careers,2
Puzzle Lab,,puzzlelab,bamboohr,https://puzzlelab.bamboohr.com/careers,2
Second Dinner,United States,seconddinner,ashby,https://jobs.ashbyhq.com/seconddinner,2
Travian Games,Germany,traviangames,personio,https://traviangames.jobs.personio.com/,2
BGaming,Malta,bgaming,smartrecruiters,https://jobs.smartrecruiters.com/bgaming,1
Blue Line Studios,,bluelinestudios,smartrecruiters,https://jobs.smartrecruiters.com/bluelinestudios,1
Fire Hose Games,,firehosegames,smartrecruiters,https://jobs.smartrecruiters.com/firehosegames,1
HypeHype,,hypehype,teamtailor,https://hypehype.teamtailor.com/jobs,1
Intrepid Studios,United States,intrepidstudios,smartrecruiters,https://jobs.smartrecruiters.com/intrepidstudios,1
Lucid Games,United Kingdom,lucidgames,recruitee,https://lucidgames.recruitee.com/,1
North Kingdom,Sweden,northkingdom,teamtailor,https://northkingdom.teamtailor.com/jobs,1
PM Studios,United States,pmstudios,greenhouse,https://job-boards.greenhouse.io/pmstudios,1
Scavengers Studio,Canada,scavengersstudio,smartrecruiters,https://jobs.smartrecruiters.com/scavengersstudio,1
Theorycraft Games,,theorycraftgames,lever,https://jobs.lever.co/theorycraftgames,1
Wisdom Tree,United States,wisdomtree,lever,https://jobs.lever.co/wisdomtree,1
inZOI Studio,,inzoistudio,greenhouse,https://job-boards.greenhouse.io/inzoistudio,1
20:20,United Kingdom,2020,teamtailor,https://2020.teamtailor.com/jobs,0
Bad Robot Games,,badrobotgames,ashby,https://jobs.ashbyhq.com/badrobotgames,0
Beamdog,Canada,beamdog,bamboohr,https://beamdog.bamboohr.com/careers,0
Bonfire Studios,,bonfirestudios,bamboohr,https://bonfirestudios.bamboohr.com/careers,0
DIMA,Netherlands,dima,bamboohr,https://dima.bamboohr.com/careers,0
Dire Wolf Digital,United States,direwolfdigital,bamboohr,https://direwolfdigital.bamboohr.com/careers,0
Dreamhaven,United States,dreamhaven,bamboohr,https://dreamhaven.bamboohr.com/careers,0
Ebb Software,Serbia,ebbsoftware,teamtailor,https://ebbsoftware.teamtailor.com/jobs,0
East Side Games,Canada,eastsidegames,bamboohr,https://eastsidegames.bamboohr.com/careers,0
G-OLD,,gold,bamboohr,https://gold.bamboohr.com/careers,0
High Voltage Software,United States,highvoltagesoftware,bamboohr,https://highvoltagesoftware.bamboohr.com/careers,0
Kano Apps,Canada,kanoapps,bamboohr,https://kanoapps.bamboohr.com/careers,0
Kluge Interactive,,klugeinteractive,bamboohr,https://klugeinteractive.bamboohr.com/careers,0
Kixeye,United States,kixeye,teamtailor,https://kixeye.teamtailor.com/jobs,0
Monomi Park,United States,monomipark,greenhouse,https://job-boards.greenhouse.io/monomipark,0
Motorsport Games,United States,motorsportgames,bamboohr,https://motorsportgames.bamboohr.com/careers,0
Nightdive Studios,United States,nightdivestudios,greenhouse,https://job-boards.greenhouse.io/nightdivestudios,0
Nolimit City,Sweden,nolimitcity,teamtailor,https://nolimitcity.teamtailor.com/jobs,0
Parallax,Netherlands,parallax,ashby,https://jobs.ashbyhq.com/parallax,0
Parallax,Netherlands,parallax,teamtailor,https://parallax.teamtailor.com/jobs,0
Pocket Gems,United States,pocketgems,greenhouse,https://job-boards.greenhouse.io/pocketgems,0
Psyonix,United States,psyonix,greenhouse,https://job-boards.greenhouse.io/psyonix,0
Socialpoint,Spain,socialpoint,greenhouse,https://job-boards.greenhouse.io/socialpoint,0
Studio MDHR,Canada,studiomdhr,bamboohr,https://studiomdhr.bamboohr.com/careers,0
Uplift Games,,upliftgames,bamboohr,https://upliftgames.bamboohr.com/careers,0
Voodoo,France,voodoo,bamboohr,https://voodoo.bamboohr.com/careers,0
WaterMelon,France,watermelon,greenhouse,https://job-boards.greenhouse.io/watermelon,0
WildWorks,United States,wildworks,bamboohr,https://wildworks.bamboohr.com/careers,0
Wolcen Studio,France,wolcenstudio,bamboohr,https://wolcenstudio.bamboohr.com/careers,0
n-Space,United States,nspace,bamboohr,https://nspace.bamboohr.com/careers,0
