# QUADROS TEAMTAILOR E RECRUITEE INEDITOS, achados na caca das 15h45 UTC de 10/09/2026.
# METODO: 5.909 nomes de estudio dos CSVs de colheita da campanha (gamedevmap CA/EU/OC, cgstudiomap,
# remotegamejobs, garimpo-pdf-fontes, fila-jhon-portas) -> 4 variantes de slug cada -> menos os 200
# tokens ja conhecidos -> 14.274 slugs x 2 familias = 28.548 sondagens, concorrencia 72, ~35 min.
# SINAL: <slug>.teamtailor.com/jobs.json e <slug>.recruitee.com/api/offers/ devolvem 404 LIMPO quando
# o slug nao existe. 161 quadros vivos, 138 com pelo menos uma vaga, 2.019 vagas lidas.
# JA VARRIDO POR DISCIPLINA NESTA RODADA: 1 acerto de personagem (Snowprint, DESCARTADO por veto
# escrito de residencia) e 1 falso positivo (grace = agencia sueca de modelos). Leitura cega dos 84
# titulos com cara de arte tambem feita. Vale REVARRER daqui a dias: o quadro e o mesmo, as vagas mudam.
# CUIDADO: muitos slugs sao palavra generica (sweet, seven, made, zero, next, house) e pertencem a
# empresas de fora do setor. Confira o nome da casa antes de tratar como estudio.
familia,slug,n_vagas,url
recruitee,11bitstudios,5,https://11bitstudios.recruitee.com/
recruitee,adam,76,https://adam.recruitee.com/
recruitee,alex,6,https://alex.recruitee.com/
recruitee,angels,0,https://angels.recruitee.com/
recruitee,anyone,2,https://anyone.recruitee.com/
recruitee,assembly,4,https://assembly.recruitee.com/
recruitee,blank,10,https://blank.recruitee.com/
recruitee,blooberteam,4,https://blooberteam.recruitee.com/
recruitee,bloom,3,https://bloom.recruitee.com/
recruitee,brain,5,https://brain.recruitee.com/
recruitee,bright,9,https://bright.recruitee.com/
recruitee,brink,0,https://brink.recruitee.com/
recruitee,chaos,14,https://chaos.recruitee.com/
recruitee,chimpworks,0,https://chimpworks.recruitee.com/
recruitee,cipsoft,2,https://cipsoft.recruitee.com/
recruitee,circuit,0,https://circuit.recruitee.com/
recruitee,clarity,2,https://clarity.recruitee.com/
recruitee,classy,6,https://classy.recruitee.com/
recruitee,clever,3,https://clever.recruitee.com/
recruitee,cloudfire,13,https://cloudfire.recruitee.com/
recruitee,cold,1,https://cold.recruitee.com/
recruitee,company3,1,https://company3.recruitee.com/
recruitee,daredevils,1,https://daredevils.recruitee.com/
recruitee,eleven,1,https://eleven.recruitee.com/
recruitee,ember,26,https://ember.recruitee.com/
recruitee,emergo,6,https://emergo.recruitee.com/
recruitee,escape,25,https://escape.recruitee.com/
recruitee,focusentertainment,8,https://focusentertainment.recruitee.com/
recruitee,fourth,1,https://fourth.recruitee.com/
recruitee,grip,3,https://grip.recruitee.com/
recruitee,hiro,0,https://hiro.recruitee.com/
recruitee,icon,2,https://icon.recruitee.com/
recruitee,illuvium,0,https://illuvium.recruitee.com/
recruitee,jump,3,https://jump.recruitee.com/
recruitee,knuddels,5,https://knuddels.recruitee.com/
recruitee,knuddelsgmbhcokg,5,https://knuddelsgmbhcokg.recruitee.com/
recruitee,lucidgames,1,https://lucidgames.recruitee.com/
recruitee,matt,8,https://matt.recruitee.com/
recruitee,meta,1,https://meta.recruitee.com/
recruitee,million,2,https://million.recruitee.com/
recruitee,nimble,4,https://nimble.recruitee.com/
recruitee,opus,22,https://opus.recruitee.com/
recruitee,outbox,1,https://outbox.recruitee.com/
recruitee,parallel,6,https://parallel.recruitee.com/
recruitee,pineapple,20,https://pineapple.recruitee.com/
recruitee,playtestcloud,1,https://playtestcloud.recruitee.com/
recruitee,playtestcloudgmbh,1,https://playtestcloudgmbh.recruitee.com/
recruitee,primary,1,https://primary.recruitee.com/
recruitee,realitygames,31,https://realitygames.recruitee.com/
recruitee,redsky,19,https://redsky.recruitee.com/
recruitee,reframe,0,https://reframe.recruitee.com/
recruitee,rift,6,https://rift.recruitee.com/
recruitee,rock,1,https://rock.recruitee.com/
recruitee,rocketwerkz,4,https://rocketwerkz.recruitee.com/
recruitee,rooster,1,https://rooster.recruitee.com/
recruitee,sandbox,0,https://sandbox.recruitee.com/
recruitee,sisu,132,https://sisu.recruitee.com/
recruitee,softgames,5,https://softgames.recruitee.com/
recruitee,storm,0,https://storm.recruitee.com/
recruitee,talent,1,https://talent.recruitee.com/
recruitee,tbwa,2,https://tbwa.recruitee.com/
recruitee,tensquaregames,10,https://tensquaregames.recruitee.com/
recruitee,tributary,1,https://tributary.recruitee.com/
recruitee,true,7,https://true.recruitee.com/
recruitee,vertical,2,https://vertical.recruitee.com/
recruitee,zero,20,https://zero.recruitee.com/
teamtailor,10chambers,0,https://10chambers.teamtailor.com/jobs
teamtailor,above,4,https://above.teamtailor.com/jobs
teamtailor,anima,6,https://anima.teamtailor.com/jobs
teamtailor,antagonist,1,https://antagonist.teamtailor.com/jobs
teamtailor,aonic,2,https://aonic.teamtailor.com/jobs
teamtailor,avantis,13,https://avantis.teamtailor.com/jobs
teamtailor,awaceb,1,https://awaceb.teamtailor.com/jobs
teamtailor,axis,2,https://axis.teamtailor.com/jobs
teamtailor,beyondframesentertainment,0,https://beyondframesentertainment.teamtailor.com/jobs
teamtailor,bica,13,https://bica.teamtailor.com/jobs
teamtailor,black,56,https://black.teamtailor.com/jobs
teamtailor,butter,17,https://butter.teamtailor.com/jobs
teamtailor,capsulestudio,1,https://capsulestudio.teamtailor.com/jobs
teamtailor,captureage,1,https://captureage.teamtailor.com/jobs
teamtailor,chief,9,https://chief.teamtailor.com/jobs
teamtailor,chopchop,70,https://chopchop.teamtailor.com/jobs
teamtailor,curio,8,https://curio.teamtailor.com/jobs
teamtailor,dare,6,https://dare.teamtailor.com/jobs
teamtailor,delve,8,https://delve.teamtailor.com/jobs
teamtailor,doktor,48,https://doktor.teamtailor.com/jobs
teamtailor,eclipse,3,https://eclipse.teamtailor.com/jobs
teamtailor,ember,13,https://ember.teamtailor.com/jobs
teamtailor,erepublik,0,https://erepublik.teamtailor.com/jobs
teamtailor,firefly,9,https://firefly.teamtailor.com/jobs
teamtailor,fortis,4,https://fortis.teamtailor.com/jobs
teamtailor,fully,2,https://fully.teamtailor.com/jobs
teamtailor,funcom,6,https://funcom.teamtailor.com/jobs
teamtailor,fuse,34,https://fuse.teamtailor.com/jobs
teamtailor,genius,3,https://genius.teamtailor.com/jobs
teamtailor,goals,0,https://goals.teamtailor.com/jobs
teamtailor,goodgamestudios,7,https://goodgamestudios.teamtailor.com/jobs
teamtailor,grace,3,https://grace.teamtailor.com/jobs
teamtailor,graft,5,https://graft.teamtailor.com/jobs
teamtailor,groundcontrol,26,https://groundcontrol.teamtailor.com/jobs
teamtailor,habitat,58,https://habitat.teamtailor.com/jobs
teamtailor,here,4,https://here.teamtailor.com/jobs
teamtailor,hero,9,https://hero.teamtailor.com/jobs
teamtailor,homa,45,https://homa.teamtailor.com/jobs
teamtailor,house,68,https://house.teamtailor.com/jobs
teamtailor,impact,0,https://impact.teamtailor.com/jobs
teamtailor,infinity,6,https://infinity.teamtailor.com/jobs
teamtailor,kindabrave,0,https://kindabrave.teamtailor.com/jobs
teamtailor,kinetic,2,https://kinetic.teamtailor.com/jobs
teamtailor,lastarrowgames,1,https://lastarrowgames.teamtailor.com/jobs
teamtailor,level,6,https://level.teamtailor.com/jobs
teamtailor,life,3,https://life.teamtailor.com/jobs
teamtailor,lightheartentertainment,1,https://lightheartentertainment.teamtailor.com/jobs
teamtailor,lingokids,0,https://lingokids.teamtailor.com/jobs
teamtailor,liquidswords,1,https://liquidswords.teamtailor.com/jobs
teamtailor,lunar,17,https://lunar.teamtailor.com/jobs
teamtailor,made,100,https://made.teamtailor.com/jobs
teamtailor,mill,0,https://mill.teamtailor.com/jobs
teamtailor,mind,3,https://mind.teamtailor.com/jobs
teamtailor,mindark,0,https://mindark.teamtailor.com/jobs
teamtailor,mobile,50,https://mobile.teamtailor.com/jobs
teamtailor,monster,4,https://monster.teamtailor.com/jobs
teamtailor,neat,19,https://neat.teamtailor.com/jobs
teamtailor,neongiant,1,https://neongiant.teamtailor.com/jobs
teamtailor,newmoonproduction,2,https://newmoonproduction.teamtailor.com/jobs
teamtailor,next,73,https://next.teamtailor.com/jobs
teamtailor,ofmstudios,0,https://ofmstudios.teamtailor.com/jobs
teamtailor,once,14,https://once.teamtailor.com/jobs
teamtailor,opusmajor,0,https://opusmajor.teamtailor.com/jobs
teamtailor,osome,15,https://osome.teamtailor.com/jobs
teamtailor,pixiongames,3,https://pixiongames.teamtailor.com/jobs
teamtailor,power,58,https://power.teamtailor.com/jobs
teamtailor,princessbento,4,https://princessbento.teamtailor.com/jobs
teamtailor,rawfury,2,https://rawfury.teamtailor.com/jobs
teamtailor,revolution,58,https://revolution.teamtailor.com/jobs
teamtailor,rhino,1,https://rhino.teamtailor.com/jobs
teamtailor,salt,2,https://salt.teamtailor.com/jobs
teamtailor,seven,100,https://seven.teamtailor.com/jobs
teamtailor,sharkmob,4,https://sharkmob.teamtailor.com/jobs
teamtailor,snowprintstudios,2,https://snowprintstudios.teamtailor.com/jobs
teamtailor,squeeze,10,https://squeeze.teamtailor.com/jobs
teamtailor,stardust,7,https://stardust.teamtailor.com/jobs
teamtailor,starship,3,https://starship.teamtailor.com/jobs
teamtailor,stillfrontgroup,39,https://stillfrontgroup.teamtailor.com/jobs
teamtailor,stim,1,https://stim.teamtailor.com/jobs
teamtailor,sunday,61,https://sunday.teamtailor.com/jobs
teamtailor,sweet,100,https://sweet.teamtailor.com/jobs
teamtailor,sweetspot,0,https://sweetspot.teamtailor.com/jobs
teamtailor,swiftgames,1,https://swiftgames.teamtailor.com/jobs
teamtailor,tapnation,3,https://tapnation.teamtailor.com/jobs
teamtailor,territorystudio,0,https://territorystudio.teamtailor.com/jobs
teamtailor,thegang,0,https://thegang.teamtailor.com/jobs
teamtailor,triband,8,https://triband.teamtailor.com/jobs
teamtailor,tribes,12,https://tribes.teamtailor.com/jobs
teamtailor,unfold,1,https://unfold.teamtailor.com/jobs
teamtailor,united,1,https://united.teamtailor.com/jobs
teamtailor,unleash,3,https://unleash.teamtailor.com/jobs
teamtailor,vividgamessa,2,https://vividgamessa.teamtailor.com/jobs
teamtailor,waypoint,4,https://waypoint.teamtailor.com/jobs
teamtailor,yonder,6,https://yonder.teamtailor.com/jobs
teamtailor,zero,78,https://zero.teamtailor.com/jobs
