data,regiao,estudio,email,draft_id
2026-09-02,eu_west,Supermassive Games,jobs@supermassivegames.com,r9162114087523682231
2026-09-02,eu_west,Rocksteady Studios,jobs@rocksteadyltd.com,r-6261161537105757313
2026-09-02,eu_west,Hello Games,jobs@hellogames.co.uk,r4386641673949400432
2026-09-02,eu_west,Playtonic Games,jobs@playtonicgames.com,r-6080377065320776990
2026-09-02,eu_west,Flix Interactive,careers@flixinteractive.com,r-8918592903906221497
2026-09-02,eu_west,Playground Games,recruitment@playground-games.com,r-9068232091863782202
2026-09-02,eu_west,Cloud Imperium Games,recruitment@cloudimperiumgames.com,r-7440719005726980680
2026-09-02,eu_west,Auroch Digital,recruitment@aurochdigital.com,r-4913112667211790393
2026-09-02,eu_west,Electric Square,charlotte.pook@electricsquare.com,r-6999235328940368787
2026-09-02,eu_west,Fire Without Smoke,talent@firewithoutsmoke.com,r-2935940319245196678
2026-09-02,eu_west,BlueBolt,vacancies@blue-bolt.com,r-6414175151125855298
2026-09-02,eu_west,Moonraker VFX,hello@moonrakervfx.com,r-4808719262432309005
2026-09-02,eu_west,Carse & Waterman,jobs@carseandwaterman.com,r-8548934189898680352
2026-09-02,eu_west,Sun & Moon Studios,jobs@sunandmoonstudios.co.uk,r5602737818012328752
2026-09-02,eu_west,KidsCave Studios,info@kidscave.com,r6666353733846057401
2026-09-02,eu_west,Little Moon Animation,jobs@littlemoonanimation.com,r-4660017292755999762
2026-09-02,eu_west,SSVFX,recruitment@ssvfx.ie,r4078794121402492224
2026-09-02,eu_west,Passtech Games,jobs@passtechgames.com,r8928141457817765696
2026-09-02,eu_west,BlueTwelve Studio,job@bluetwelvestudio.com,r6014024385805961820
2026-09-02,eu_west,Sandfall Interactive,contact@sandfall.co,r-1547316486128049281
2026-09-02,eu_west,Big Bad Wolf,jobs@bigbadwolf-studio.com,r-4756405221108369003
2026-09-02,eu_west,Artefacts Studio,job@artefacts-studio.fr,r-6743275254989031445
2026-09-02,eu_west,Eden Games,job@edengames.com,r4111197901983573917
2026-09-02,eu_west,Tactical Adventures,jobs@tactical-adventures.com,r-511947048661821899
2026-09-02,eu_west,Microids,recruitment@microids.com,r-2688338241269953300
2026-09-02,eu_west,Tindalos Interactive,contact@tindalos-interactive.com,r3179522599564609242
2026-09-02,eu_west,Old Skull Games,contact@oldskullgames.com,r8180370943129897459
2026-09-02,eu_west,BUF,jobs_paris@buf.com,r4018014714670732943
2026-09-02,eu_west,Hocus Pocus Studio,job@hocuspocus-studio.fr,r-6349220516856890419
2026-09-02,eu_west,Trimaran VFX,contact@trimaran.com,r-2258933984941339812
2026-09-02,eu_west,Eisko,contact@eisko.com,r7542299967119348641
2026-09-02,eu_west,Millimages,recrutement@millimages.com,r7013005780032042996
2026-09-02,eu_west,Appeal Studios,job@appeal-studios.com,r-5795067752730071508
2026-09-02,eu_west,Glowfish Interactive,jobs@glowfishinteractive.com,r-8538724013440474913
2026-09-02,eu_west,Triangle Factory,work@triangle-factory.be,r7239292395414791728
2026-09-02,eu_west,Abrakam Entertainment,careers@abrakam.com,r8976897956536600617
2026-09-02,eu_west,Fabrique Fantastique,info@fabriquefantastique.be,r-1372329155956290489
2026-09-02,eu_west,Doghouse Films,info@doghousefilms.eu,r4393307586831361879
2026-09-02,eu_west,ZEILT productions,contact@zeilt.com,r-3759647551063064226
2026-09-02,eu_west,Bubblebird Studio,contact@bubblebirdstudio.com,r-8472797330391188361
2026-09-02,eu_west,Vertigo Games,jobs@vertigo-games.com,r7627379392641842270
2026-09-02,eu_west,Little Chicken Game Company,jobs@littlechicken.nl,r517869188172540820
